District,Location,pH,EC,TDS,CO3,HCO3,CI,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,Fe,SAR
Ahmedabad,Barvala,7.69,4781.0,3203.0,0.0,1342.0,780.0,17.0,270.0,3.25,1100.0,40.0,48.0,300.0,1020.0,0.4,,25.6
Ahmedabad,Dhandhuka1,7.56,790.0,529.0,0.0,354.0,43.0,12.0,36.0,2.2,290.0,24.0,10.0,100.0,140.0,17.2,,6.09
Ahmedabad,Gamph,7.9,2550.0,1709.0,0.0,781.0,461.0,16.0,10.0,0.25,640.0,28.0,72.0,370.0,416.0,37.0,,9.4
Ahmedabad,Tagadi1,7.8,1492.0,1000.0,0.0,439.0,191.0,17.0,15.0,1.75,360.0,32.0,31.0,210.0,210.0,5.2,,6.3
Ahmedabad,Dalod,7.73,14520.0,9728.0,0.0,1232.0,4361.0,45.0,439.0,3.1,1010.0,180.0,216.0,1350.0,2940.0,33.0,0.4,34.79
Ahmedabad,Mandal2,8.06,3581.0,2399.0,0.0,573.0,922.0,10.0,18.0,0.54,470.0,140.0,96.0,750.0,490.0,6.9,0.1,7.78
Ahmedabad,Kundali,7.42,875.0,586.0,0.0,378.0,85.0,24.0,5.0,0.45,310.0,36.0,36.0,240.0,100.0,0.4,,2.81
Ahmedabad,Rajpada,8.2,2884.0,1932.0,0.0,537.0,567.0,250.0,91.0,0.43,440.0,200.0,168.0,1200.0,160.0,4.5,,2.01
Ahmedabad,Endla,7.92,698.0,468.0,0.0,317.0,35.0,2.0,37.0,0.5,260.0,28.0,38.0,230.0,56.0,9.5,,1.61
Ahmedabad,Kumarkhan,8.1,9840.0,6593.0,0.0,1000.0,2730.0,46.0,628.0,2.4,820.0,120.0,216.0,1200.0,1940.0,25.0,,24.35
Ahmedabad,Viramgam2,7.59,5050.0,3384.0,0.0,512.0,1383.0,4.0,198.0,0.8,420.0,120.0,84.0,650.0,900.0,9.5,,15.35
