Well D,District,Taluka,Location,Type,pH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR,Arsenic,Unnamed: 23
W220900071533001,Ahmedabad,BARWALA,Barvala,Dug Well,7.84,5440.0,3645.0,0.0,1281.0,815.0,32.0,407.0,4.5,1050.0,80.0,144.0,800.0,863.0,2.0,13.27,6.0,
W230200072264501,Ahmedabad,DASKROI,Ghuma,Dug Well,8.18,3796.0,2543.0,0.0,598.0,815.0,21.0,270.0,0.61,490.0,140.0,120.0,850.0,318.0,320.0,4.74,1.0,
W222230071591001,Ahmedabad,DHANDHUKA,Dhandhuka1,Dug Well,8.28,385.0,258.0,0.0,171.0,14.0,2.0,36.0,0.35,140.0,36.0,19.0,170.0,14.0,1.9,0.47,2.0,
W222130072100001,Ahmedabad,DHANDHUKA,Gamph,Dug Well,7.99,4185.0,2804.0,0.0,500.0,1028.0,15.0,84.0,0.96,410.0,80.0,144.0,800.0,543.0,47.0,8.35,6.0,
W221745071565001,Ahmedabad,DHANDHUKA,Tagadi1,Dug Well,8.21,1207.0,809.0,0.0,390.0,135.0,3.0,107.0,1.92,320.0,52.0,26.0,240.0,180.0,7.8,5.05,1.0,
W232200071580001,Ahmedabad,MANDAL,Dalod,Dug Well,8.03,15440.0,10345.0,0.0,342.0,4402.0,50.0,992.0,2.8,280.0,240.0,134.0,1650.0,2760.0,43.0,29.54,7.0,
W231630071550001,Ahmedabad,MANDAL,Mandal2,Dug Well,8.22,3494.0,2341.0,0.0,268.0,951.0,3.0,173.0,0.45,220.0,80.0,107.0,640.0,516.0,5.5,8.87,5.0,
W221610071420001,Ahmedabad,RANPUR,Kundali,Dug Well,8.19,1027.0,688.0,0.0,378.0,120.0,42.0,33.0,0.61,310.0,40.0,58.0,340.0,97.0,0.4,2.29,2.0,
W221830071413001,Ahmedabad,RANPUR,Rajpada,Dug Well,8.1,1063.0,712.0,0.0,342.0,120.0,31.0,56.0,0.82,280.0,68.0,43.0,350.0,86.0,1.6,2.0,3.0,
W231620072033001,Ahmedabad,VIRAMGAM,Endla,Dug Well,8.52,616.0,413.0,18.0,159.0,149.0,0.0,1.0,0.8,160.0,28.0,32.0,200.0,81.0,10.7,2.49,5.0,
