District,Location,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K
Surat,Malda,7.76,1484.0,994,0.0,622,142,23,5.0,0.53,510,72,92.0,560.0,76.0,18.4
Surat,Mandvi2,7.82,1096.0,734,0.0,366,121,55,32.0,0.5,300,80,49.0,400.0,70.0,0.5
Surat,Mota,8.01,2812.0,1884,0.0,671,540,16,70.0,1.25,550,48,68.0,400.0,465.0,1.9
Surat,Moti Sarkui,7.79,720.0,482,0.0,305,57,26,18.0,0.33,250,24,39.0,220.0,70.0,0.4
Surat,Motichher,7.91,512.0,343,0.0,244,28,25,13.0,0.35,200,48,27.0,236.0,18.0,0.2
Surat,Navi Pardi,7.96,2521.0,1689,0.0,659,483,11,28.0,1.15,540,48,63.0,380.0,410.0,13.0
Surat,Nesharpur,8.11,445.0,298,0.0,317,21,17,129.0,0.45,260,68,7.0,280.0,73.0,0.2
Surat,Nizar1,7.57,1454.0,974,0.0,647,121,36,8.0,0.7,530,96,61.0,490.0,106.0,18.7
Surat,Nogama,7.86,1044.0,699,0.0,378,99,23,53.0,0.23,310,84,41.0,380.0,67.0,3.6
Surat,Olpad2,8.28,1584.0,1061,0.0,549,185,60,25.0,0.3,450,28,27.0,180.0,242.0,72.1
Surat,Palsana,8.08,1114.0,746,0.0,488,107,2,5.0,0.44,400,32,22.0,170.0,180.0,11.7
Surat,Paneshwar,7.85,1922.0,1288,0.0,232,433,15,131.0,0.38,190,176,71.0,730.0,105.0,0.6
Surat,Paniwara,7.79,809.0,542,0.0,378,43,27,14.0,0.32,310,40,32.0,230.0,82.0,1.6
Surat,Puna-1,7.91,1273.0,853,0.0,537,128,36,18.0,0.75,440,60,71.0,440.0,107.0,0.9
Surat,Sachin towan,7.62,3660.0,2452,0.0,293,966,0,172.0,0.1,240,192,97.0,880.0,423.0,5.8
Surat,Sarbhon,8.04,1141.0,764,0.0,500,99,13,17.0,2.7,410,20,36.0,200.0,178.0,1.7
Surat,Surat city,8.26,818.0,548,0.0,293,107,1,9.0,0.35,240,76,27.0,300.0,48.0,6.1
Surat,Syan,8.15,1870.0,1253,0.0,439,376,33,16.0,0.23,360,92,90.0,600.0,157.0,0.8
Surat,Ten- Bardoli,7.97,650.0,436,0.0,305,28,10,26.0,0.65,250,28,41.0,240.0,40.0,0.3
Surat,Tokarwa 1,7.79,747.0,500,0.0,305,57,36,14.0,0.31,250,56,27.0,250.0,58.0,0.0
Surat,Uchchhal1,7.64,881.0,590,0.0,366,64,39,22.0,0.32,300,44,44.0,290.0,72.0,0.4
Surat,Ushker,7.9,667.0,447,0.0,293,43,19,18.0,0.45,240,60,19.0,230.0,49.0,1.8
Surat,Vaheval,8.0,571.0,383,0.0,268,50,12,19.0,0.27,220,68,27.0,230.0,42.0,0.3
Surat,Valod,8.29,841.0,563,0.0,415,50,0,45.0,2.2,340,44,44.0,290.0,80.0,0.3
Surat,Velachha,7.71,6201.0,4155,0.0,427,1953,50,87.0,0.32,350,560,49.0,1600.0,769.0,63.7
Surat,Vyara1,7.94,654.0,438,0.0,305,36,10,19.0,0.45,250,24,15.0,120.0,97.0,0.3
Surat,Warod,8.05,2237.0,1499,0.0,366,540,18,27.0,1.05,300,84,78.0,530.0,270.0,1.8
Surendranagar,Adriyana,8.71,1360.0,911,0.0,48,281,241,22.0,0.6,39,64,19.0,240.0,193.0,16.0
Surendranagar,Bajana,8.07,598.0,401,0.0,195,57,4,48.0,0.82,160,60,2.0,160.0,63.0,4.8
Surendranagar,Bamanbor,7.93,971.0,651,0.0,342,92,70,18.0,0.77,280,96,2.0,250.0,110.0,1.7
Surendranagar,Dasada-1,8.76,2937.0,1968,0.0,317,710,3,175.0,0.1,260,40,0.0,100.0,625.0,5.2
Surendranagar,Halvad2,8.22,3194.0,2140,0.0,415,767,50,98.0,1.49,340,128,68.0,600.0,452.0,15.7
Surendranagar,Jhinjhuwada,8.66,1116.0,748,0.0,294,178,22,95.0,0.6,241,60,12.0,200.0,190.0,12.6
Surendranagar,Kharaghoda,8.28,3904.0,2616,0.0,405,951,4,260.0,0.22,332,56,14.0,200.0,812.0,7.1
Surendranagar,Kherwa,8.19,949.0,636,0.0,305,128,16,50.0,0.35,250,72,14.0,240.0,119.0,7.0
Surendranagar,Lakhtar,7.85,1606.0,1076,0.0,390,263,6,73.0,2.2,320,92,32.0,260.0,240.0,17.1
Surendranagar,Latuda,8.14,1676.0,1123,0.0,281,348,17,76.0,1.35,230,64,29.0,280.0,250.0,2.4
Surendranagar,Mathak,8.16,5578.0,3737,0.0,378,1377,105,402.0,1.3,310,208,107.0,960.0,839.0,4.9
Surendranagar,Miani,8.1,3891.0,2607,0.0,293,866,180,295.0,1.49,240,136,78.0,660.0,586.0,4.6
Surendranagar,Moti Moladi,7.53,5452.0,3653,0.0,220,1562,180,164.0,0.6,180,344,360.0,2340.0,179.0,0.7
Surendranagar,Muli,8.48,2537.0,1700,0.0,500,426,46,258.0,2.9,410,64,5.0,180.0,530.0,1.1
Surendranagar,Pipli,8.26,285.0,191,0.0,183,14,1,8.0,0.25,150,40,7.0,130.0,23.0,2.4
Surendranagar,Rajsitapur,8.27,2652.0,1777,0.0,476,497,125,103.0,1.42,390,96,29.0,360.0,438.0,5.7
Surendranagar,Ranipet,8.1,319.0,214,0.0,183,14,3,7.0,0.45,150,24,22.0,150.0,14.0,2.7
Surendranagar,Sara,8.13,1834.0,1229,0.0,403,369,11,48.0,1.45,330,64,27.0,270.0,299.0,2.5
Surendranagar,Sarla,8.07,2696.0,1806,0.0,317,596,20,214.0,1.04,260,80,58.0,440.0,420.0,2.8
Surendranagar,Shiyani,8.02,597.0,400,0.0,244,78,2,8.0,0.33,200,48,0.0,120.0,93.0,5.6
Surendranagar,Sudamda,7.52,4295.0,2878,0.0,268,1051,320,160.0,0.45,220,408,63.0,1280.0,399.0,2.9
Surendranagar,Sukhpar1,8.28,2963.0,1985,0.0,574,525,170,98.0,1.5,470,96,49.0,440.0,471.0,2.0
Surendranagar,Surendranagar2,8.1,1488.0,997,0.0,171,320,65,85.0,1.4,140,80,34.0,340.0,185.0,2.5
Surendranagar,Tavi1,7.65,1184.0,793,0.0,195,263,36,20.0,1.25,160,36,2.0,100.0,225.0,7.6
Surendranagar,Visawadi,8.17,2949.0,1976,0.0,427,639,70,105.0,0.9,350,96,44.0,420.0,465.0,19.5
Surendranagar,Warod,8.03,1189.0,797,0.0,488,149,21,12.0,0.75,400,76,19.0,270.0,147.0,34.2
The Dangs,Aherdi,8.16,302.0,202,0.0,171,36,19,3.0,0.05,140,44,5.0,130.0,37.0,0.3
The dangs,Ahwa1,8.08,1045.0,700,0.0,317,128,18,31.0,0.1,260,80,29.0,320.0,78.0,12.0
The Dangs,Amba Pada,8.13,304.0,204,0.0,195,21,19,13.0,0.24,160,44,10.0,150.0,32.0,0.2
The Dangs,Bandi pada,7.79,667.0,447,0.0,342,28,5,8.0,0.44,280,44,41.0,280.0,25.0,0.2
The Dangs,Bhansh kathari,8.22,729.0,488,0.0,183,71,125,15.0,0.2,150,84,15.0,270.0,30.0,32.8
The dangs,Bori gaotha,8.21,449.0,301,0.0,207,28,28,12.0,0.15,170,64,5.0,180.0,30.0,0.9
The dangs,Bori pada,8.17,385.0,258,0.0,146,28,27,15.0,0.2,120,52,5.0,150.0,22.0,0.4
The dangs,Chikhli,8.17,386.0,259,0.0,183,14,19,13.0,0.05,150,52,2.0,140.0,27.0,0.2
The Dangs,Chinch pada,8.01,596.0,399,0.0,98,64,170,6.0,0.2,80,68,19.0,250.0,30.0,0.8
The dangs,Chinchnogaotha,8.19,606.0,406,0.0,220,50,62,11.0,0.2,180,80,5.0,220.0,43.0,1.2
The dangs,Dhumkal,8.18,342.0,229,0.0,195,14,20,24.0,0.2,160,40,19.0,180.0,19.0,0.1
The Dangs,Gadad (New),8.24,371.0,249,0.0,183,21,6,6.0,0.1,150,56,2.0,150.0,19.0,0.8
The dangs,Ghubita,8.18,418.0,280,0.0,207,21,21,18.0,0.15,170,56,12.0,190.0,21.0,0.8
The dangs,Jakana,8.07,534.0,358,0.0,183,36,76,16.0,0.28,150,76,15.0,250.0,14.0,0.7
The Dangs,Jamal pada,7.99,579.0,388,0.0,122,57,125,6.0,0.6,100,72,19.0,210.0,37.0,0.2
The Dangs,Kalam khan,8.24,519.0,348,,183,36,31,29.0,0.46,150,64,5.0,180.0,36.0,0.6
The dangs,Malegaon,8.11,356.0,239,0.0,171,43,27,0.0,0.28,140,44,15.0,170.0,25.0,1.0
The dangs,Nadak khadi,8.23,483.0,324,0.0,256,21,5,5.0,0.25,210,56,2.0,150.0,46.0,0.8
The dangs,Nana pada,8.17,352.0,236,0.0,220,14,19,9.0,0.07,180,52,12.0,160.0,30.0,0.3
The Dangs,Pipri,8.09,269.0,180,0.0,159,21,22,19.0,0.2,130,36,12.0,140.0,27.0,0.8
The Dangs,Sakar patar,8.18,335.0,224,0.0,171,28,22,33.0,0.06,140,48,15.0,180.0,24.0,0.5
The Dangs,Sarvan,8.18,232.0,155,0.0,162,14,22,21.0,0.25,133,14,2.0,110.0,38.0,0.6
The dangs,Sodmal,8.25,376.0,252,0.0,159,21,20,20.0,0.3,130,52,5.0,150.0,22.0,0.4
The dangs,Subir,8.02,411.0,275,0.0,195,28,28,10.0,0.14,160,52,15.0,190.0,20.0,0.8
The dangs,Umberpada,8.12,406.0,272,0.0,207,28,29,19.0,0.12,170,52,19.0,210.0,20.0,0.3
The Dangs,Vazat Amba,8.21,415.0,278,0.0,171,36,27,25.0,0.25,140,56,12.0,190.0,23.0,0.3
The Dangs,Waghach,8.14,394.0,264,0.0,183,36,20,30.0,0.15,150,52,15.0,190.0,27.0,1.0
