iter	MultiClass
0	1.305679251
1	1.236224814
2	1.181505857
3	1.130480237
4	1.072408915
5	1.032774873
6	0.9811382763
7	0.949475378
8	0.9138358259
9	0.8737403256
10	0.8429429541
11	0.8131616453
12	0.7826890345
13	0.7627423792
14	0.7406181444
15	0.7152768823
16	0.6975636826
17	0.6807832907
18	0.6605109738
19	0.6392006803
20	0.6212678205
21	0.6029456016
22	0.5835859105
23	0.5672738186
24	0.5504411289
25	0.5392734023
26	0.524925386
27	0.5129349337
28	0.4988855203
29	0.4875182663
30	0.4809822621
31	0.4740780049
32	0.4622468768
33	0.4528862544
34	0.443014553
35	0.4351881987
36	0.4259530904
37	0.4188189947
38	0.4104017127
39	0.4034180049
40	0.3976307781
41	0.3905190915
42	0.3827372602
43	0.3761682514
44	0.372773929
45	0.367279023
46	0.3629981458
47	0.3575307135
48	0.3509309779
49	0.3457995704
50	0.3408739766
51	0.3342596239
52	0.3298691068
53	0.3251447388
54	0.3207737601
55	0.316292538
56	0.3116253139
57	0.3084460354
58	0.3044676341
59	0.3007075234
60	0.2964656366
61	0.2935475199
62	0.2897896352
63	0.288027426
64	0.2849780139
65	0.2816062016
66	0.278990717
67	0.275211009
68	0.2724546651
69	0.2698535239
70	0.2675100428
71	0.2645817436
72	0.2620855255
73	0.2605600591
74	0.2583327401
75	0.255910003
76	0.2538352171
77	0.2511614131
78	0.2487611481
79	0.2471474562
80	0.2450329997
81	0.2427017398
82	0.2406388966
83	0.2388769487
84	0.2359417848
85	0.2329629981
86	0.2308253441
87	0.2298498802
88	0.2288585252
89	0.2265495468
90	0.2250654239
91	0.2232463389
92	0.2206046952
93	0.219374907
94	0.2177296883
95	0.2159357958
96	0.2139768158
97	0.2130013673
98	0.2124130611
99	0.2110503295
100	0.20930626
101	0.2086274361
102	0.2063045839
103	0.2052906718
104	0.2042745746
105	0.2035636559
106	0.2025672602
107	0.2009177475
108	0.1992510809
109	0.1987080879
110	0.1968551174
111	0.1961028978
112	0.1947243359
113	0.1939409276
114	0.1923499817
115	0.1906514355
116	0.1890543946
117	0.1873262919
118	0.1861935313
119	0.18491964
120	0.1835334521
121	0.1823416096
122	0.1811675496
123	0.1799589854
124	0.1791596556
125	0.1781137599
126	0.1771164033
127	0.1761425081
128	0.174705022
129	0.1733325647
130	0.1725735573
131	0.1719265505
132	0.1710040512
133	0.1702949072
134	0.1691055826
135	0.1678254877
136	0.1669622664
137	0.1662728862
138	0.1653658549
139	0.1649196642
140	0.1639958448
141	0.163239485
142	0.1624755786
143	0.1617435603
144	0.1611362003
145	0.1608128978
146	0.159954613
147	0.1591118126
148	0.1577095674
149	0.1565806468
150	0.1559061688
151	0.1554040237
152	0.1551091876
153	0.1544467073
154	0.154086057
155	0.1532643944
156	0.1522412385
157	0.1512689505
158	0.1502970745
159	0.1496403971
160	0.1486329032
161	0.1479342059
162	0.1475325127
163	0.1470627481
164	0.1456016953
165	0.1451238608
166	0.1444878299
167	0.1434386332
168	0.1426186141
169	0.1421811963
170	0.1415186384
171	0.1406981991
172	0.1394956086
173	0.138650916
174	0.137750525
175	0.1368030992
176	0.1357935898
177	0.1350482201
178	0.1345459926
