iter	Passed	Remaining
0	30	27808
1	51	23312
2	89	26611
3	113	25426
4	145	25983
5	173	25779
6	197	25139
7	220	24616
8	248	24595
9	276	24607
10	300	24313
11	328	24287
12	351	23995
13	375	23773
14	399	23599
15	422	23328
16	448	23284
17	470	23035
18	492	22816
19	512	22557
20	534	22366
21	552	22067
22	573	21874
23	593	21679
24	613	21456
25	631	21237
26	651	21052
27	671	20927
28	690	20742
29	707	20526
30	724	20308
31	742	20146
32	758	19935
33	776	19780
34	793	19614
35	809	19437
36	826	19288
37	846	19191
38	865	19101
39	882	18976
40	900	18871
41	920	18800
42	940	18751
43	962	18718
44	980	18627
45	998	18530
46	1016	18447
47	1033	18340
48	1050	18246
49	1067	18139
50	1085	18070
51	1103	18002
52	1121	17918
53	1139	17859
54	1160	17822
55	1178	17758
56	1196	17695
57	1212	17601
58	1228	17509
59	1244	17427
60	1259	17329
61	1276	17258
62	1294	17196
63	1310	17114
64	1328	17069
65	1346	17016
66	1365	16972
67	1382	16911
68	1400	16865
69	1418	16818
70	1435	16760
71	1451	16693
72	1467	16623
73	1484	16573
74	1502	16527
75	1520	16482
76	1537	16437
77	1557	16411
78	1576	16385
79	1599	16389
80	1624	16426
81	1648	16442
82	1667	16412
83	1687	16389
84	1706	16365
85	1727	16354
86	1748	16336
87	1768	16318
88	1788	16298
89	1807	16271
90	1826	16239
91	1845	16209
92	1862	16157
93	1879	16116
94	1897	16075
95	1913	16026
96	1934	16010
97	1950	15966
98	1968	15926
99	1983	15869
100	2000	15824
101	2015	15767
102	2032	15728
103	2050	15691
104	2069	15667
105	2087	15632
106	2104	15594
107	2122	15565
108	2141	15538
109	2158	15504
110	2174	15459
111	2192	15426
112	2212	15412
113	2228	15367
114	2245	15330
115	2266	15316
116	2282	15272
117	2298	15235
118	2316	15200
119	2334	15175
120	2351	15136
121	2369	15107
122	2387	15082
123	2406	15060
124	2426	15042
125	2449	15045
126	2467	15020
127	2485	14989
128	2502	14958
129	2520	14928
130	2536	14891
131	2555	14866
132	2572	14833
133	2589	14803
134	2609	14785
135	2631	14783
136	2651	14764
137	2670	14745
138	2691	14732
139	2708	14705
140	2728	14685
141	2746	14661
142	2762	14621
143	2779	14593
144	2795	14557
145	2810	14516
146	2828	14491
147	2852	14492
148	2873	14485
149	2892	14462
150	2909	14430
151	2925	14394
152	2942	14367
153	2959	14337
154	2979	14321
155	2995	14287
156	3013	14260
157	3032	14241
158	3053	14232
159	3071	14205
160	3090	14186
161	3105	14145
162	3120	14109
163	3139	14090
164	3158	14069
165	3176	14044
166	3192	14012
167	3207	13975
168	3227	13961
169	3243	13928
170	3261	13902
171	3279	13880
172	3298	13860
173	3314	13827
174	3330	13796
175	3348	13775
176	3365	13748
177	3385	13730
178	3403	13709
179	3420	13682
180	3437	13653
181	3456	13635
182	3474	13612
183	3490	13583
184	3506	13552
185	3526	13538
186	3544	13514
187	3562	13490
188	3581	13471
189	3599	13449
190	3621	13442
191	3638	13415
192	3656	13393
193	3672	13364
194	3689	13338
195	3706	13312
196	3722	13282
197	3737	13251
198	3754	13224
199	3769	13192
200	3785	13164
201	3800	13131
202	3816	13104
203	3831	13072
204	3848	13048
205	3866	13025
206	3885	13008
207	3904	12990
208	3923	12970
209	3942	12953
210	3967	12954
211	3987	12940
212	4006	12921
213	4026	12907
214	4048	12897
215	4066	12877
216	4086	12863
217	4106	12846
218	4128	12838
219	4148	12821
220	4167	12804
221	4184	12780
222	4203	12761
223	4223	12746
224	4242	12728
225	4260	12705
226	4279	12686
227	4298	12669
228	4315	12644
229	4331	12618
230	4352	12605
231	4373	12593
232	4392	12575
233	4412	12558
234	4443	12574
235	4462	12555
236	4481	12536
237	4498	12513
238	4517	12493
239	4537	12477
240	4557	12460
241	4573	12435
242	4591	12415
243	4611	12399
244	4630	12380
245	4649	12361
246	4665	12335
247	4685	12318
248	4703	12296
249	4720	12274
250	4740	12256
251	4772	12271
252	4790	12251
253	4829	12283
254	4866	12310
255	4908	12346
256	4949	12383
257	4975	12381
258	5005	12387
259	5032	12387
260	5057	12381
261	5108	12438
262	5134	12436
263	5153	12415
264	5170	12390
265	5188	12366
266	5208	12347
267	5223	12318
268	5242	12297
269	5261	12277
270	5284	12264
271	5302	12242
272	5320	12219
273	5336	12191
274	5354	12169
275	5372	12146
276	5390	12124
277	5411	12108
278	5428	12082
279	5454	12077
280	5475	12061
281	5492	12036
282	5508	12010
283	5526	11986
284	5543	11961
285	5562	11941
286	5577	11912
287	5593	11887
288	5609	11860
289	5631	11845
290	5649	11822
291	5668	11801
292	5689	11786
293	5710	11770
294	5729	11750
295	5749	11731
296	5767	11710
297	5787	11691
298	5802	11664
299	5821	11642
300	5839	11619
301	5860	11604
302	5879	11583
303	5897	11561
304	5915	11540
305	5933	11517
306	5952	11497
307	5969	11473
308	5991	11458
309	6008	11436
310	6027	11414
311	6045	11392
312	6062	11369
313	6080	11347
314	6096	11322
315	6114	11299
316	6132	11277
317	6149	11255
318	6169	11236
319	6189	11218
320	6211	11204
321	6235	11193
322	6254	11172
323	6270	11147
324	6292	11133
325	6309	11108
326	6329	11092
327	6353	11080
328	6375	11065
329	6394	11045
330	6412	11023
331	6430	11000
332	6446	10976
333	6467	10959
334	6485	10937
335	6503	10916
336	6524	10900
337	6543	10880
338	6563	10860
339	6586	10848
340	6604	10826
341	6623	10806
342	6641	10784
343	6658	10761
344	6681	10748
345	6724	10767
346	6754	10764
347	6777	10750
348	6800	10736
349	6821	10719
350	6832	10687
351	6852	10668
352	6884	10667
353	6908	10655
354	6941	10656
355	6974	10657
356	6998	10645
357	7039	10657
358	7067	10650
359	7095	10642
360	7125	10639
361	7148	10624
362	7177	10618
363	7203	10606
364	7224	10588
365	7257	10589
366	7292	10590
367	7332	10599
368	7376	10614
369	7436	10652
370	7468	10648
371	7504	10651
372	7523	10629
373	7552	10621
374	7577	10608
375	7598	10589
376	7621	10572
377	7643	10555
378	7663	10534
379	7685	10517
380	7719	10515
381	7752	10512
382	7785	10509
383	7819	10507
384	7852	10503
385	7887	10502
386	7923	10503
387	7950	10491
388	7973	10473
389	8004	10467
390	8034	10459
391	8072	10461
392	8103	10454
393	8131	10442
394	8144	10412
395	8169	10397
396	8204	10395
397	8244	10398
398	8286	10404
399	8323	10403
400	8363	10407
401	8402	10409
402	8440	10409
403	8470	10399
404	8518	10411
405	8559	10414
406	8581	10395
407	8606	10378
408	8627	10357
409	8648	10336
410	8670	10316
411	8695	10299
412	8716	10278
413	8740	10260
414	8761	10238
415	8780	10215
416	8802	10195
417	8821	10172
418	8846	10155
419	8866	10132
420	8884	10108
421	8905	10086
422	8924	10063
423	8944	10041
424	8966	10021
425	8981	9993
426	9000	9969
427	9018	9945
428	9038	9923
429	9061	9904
430	9080	9881
431	9101	9860
432	9134	9851
433	9153	9828
434	9172	9805
435	9195	9785
436	9212	9760
437	9232	9737
438	9249	9713
439	9265	9686
440	9285	9664
441	9303	9640
442	9320	9615
443	9337	9590
444	9354	9564
445	9373	9542
446	9394	9520
447	9412	9497
448	9431	9473
449	9447	9447
450	9464	9422
451	9481	9397
452	9499	9373
453	9519	9351
454	9541	9331
455	9561	9309
456	9571	9278
457	9588	9253
458	9605	9228
459	9625	9206
460	9643	9182
461	9659	9158
462	9676	9133
463	9697	9112
464	9714	9087
465	9739	9070
466	9762	9052
467	9781	9028
468	9801	9007
469	9823	8987
470	9843	8966
471	9866	8946
472	9889	8927
473	9912	8908
474	9930	8885
475	9951	8863
476	9968	8839
477	9987	8817
478	10008	8796
479	10029	8775
