DISTRICT,YEAR,WAWQI
Patan,2019,59.724355555555555
Patan,2021,52.00524074074074
Ahmadabad,2019,50.97241414141415
Patan,2015,50.53558333333334
Patan,2017,44.23330555555556
Amreli,2019,42.444299145299155
Ahmadabad,2017,41.47611111111111
Gandhinagar,2017,40.54094444444445
Patan,2020,39.727791296296296
Patan,2014,39.70152777777778
Ahmadabad,2021,38.57667724867726
Patan,2016,38.477037037037036
Porbandar,2019,38.26894009661836
Porbandar,2017,35.551032407407405
Ahmadabad,2014,35.2150404040404
Ahmadabad,2016,34.88856666666667
Ahmadabad,2020,34.88765731481482
Kachchh,2015,34.72583024691358
Kachchh,2014,34.62716802168022
Porbandar,2021,33.207522222222224
Kachchh,2019,32.563833333333335
Gandhinagar,2018,32.136495000000004
Porbandar,2018,31.123916010101013
Ahmadabad,2015,30.807111111111112
Junagadh,2016,30.40592270531401
Kachchh,2020,30.324292724014338
Porbandar,2016,29.98474358974359
Gandhinagar,2021,29.75477777777777
Kachchh,2017,29.188111111111116
Kheda,2017,28.51173015873016
Kheda,2019,28.479380952380957
Gandhinagar,2014,28.478555555555555
Jamnagar,2018,28.365797634408604
Amreli,2016,28.117663492063492
Gandhinagar,2016,27.97988888888889
Porbandar,2014,27.778990476190476
Kheda,2018,27.714987999999998
Gandhinagar,2019,27.62077777777778
Surendranagar,2021,27.404343750000002
Kheda,2016,27.193972222222225
Patan,2018,27.08836936507937
Amreli,2017,26.85141414141414
Gandhinagar,2020,26.809777777777786
Gandhinagar,2015,26.684833333333337
Surendranagar,2014,26.625719806763286
Surendranagar,2020,26.624840584795322
Junagadh,2015,26.488612159329143
Kachchh,2021,26.474458333333335
Bhavnagar,2018,26.38186927536232
Junagadh,2014,25.825956916099777
Kachchh,2016,25.493519607843137
Rajkot,2016,25.280391534391534
Surendranagar,2018,25.274969710144926
Porbandar,2020,25.188676666666666
Kachchh,2018,24.84876653594771
Jamnagar,2017,24.68453086419753
Rajkot,2017,24.646189542483658
Kheda,2021,24.620726495726498
Porbandar,2015,24.605555555555558
Surendranagar,2019,24.589679012345684
Mahesana,2016,24.48884027777778
Rajkot,2021,24.202965432098765
Jamnagar,2019,24.185555555555556
Jamnagar,2014,24.050675000000002
Jamnagar,2016,23.989150997151
Rajkot,2018,23.865936503267974
Jamnagar,2015,23.72708831908832
Amreli,2014,23.71936936936937
Mahesana,2014,23.644044444444443
Ahmadabad,2018,23.54308388888889
Vadodara,2019,23.53772972972973
Kheda,2020,23.459752820512822
