Sl.,District,Site,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
1,Ahmedabad,Dalod,8.2,16640,11149.0,0.0,1257.0,5176.0,26.0,822.0,1.0,1030.82,152.0,260.0,1451.0,3535.0,45.0,40.0
2,Ahmedabad,Endla,7.35,715,479.0,0.0,354.0,50.0,0.23,18.0,0.46,290,56.0,34.0,280.0,47.0,11.0,1.2
3,Ahmedabad,Viramgam,8.08,2810,1883.0,0.0,329.0,596.0,4.9,230.0,0.32,270,16.0,19.0,120.0,541.0,4.4,21.5
4,Ahmedabad,Kumar Khan,7.34,6118,4099.0,0.0,1403.0,1120.0,21.0,397.0,3.5,1150.92,148.0,61.0,620.0,1100.0,63.0,19.2
5,Ahmedabad,Kundal,7.7,1243,833.0,0.0,354.0,184.0,2.2,64.0,0.73,290,44.0,24.0,210.0,178.0,1.7,5.3
6,Ahmedabad,Bavla,7.48,4998,3349.0,0.0,342.0,1092.0,11.0,580.0,0.52,280,152.0,41.0,550.0,863.0,2.7,16.0
7,Ahmedabad,Dhandhuka1,8.2,7328,4910.0,0.0,1135.0,1546.0,220.0,494.0,5.0,931,72.0,122.0,681.0,1384.0,44.0,23.08
8,Ahmedabad,Tagadi1,8.1,2960,1983.0,0.0,427.0,269.0,43.0,798.0,0.8,350,132.0,54.0,550.0,437.0,24.0,8.1
9,Ahmedabad,Barvala,8.19,7338,4916.46,0.0,1293.0,1198.0,33.0,1002.0,3.8,1060.85,32.0,73.0,380.0,1550.0,0.27,34.571
10,Ahmedabad,Lonjdhara,8.18,1264,847.0,0.0,500.0,142.0,49.0,30.0,2.4,410,20.0,29.0,170.0,225.0,0.51,7.5
11,Ahmedabad,Rajpada,8.08,708,474.0,0.0,293.0,57.0,37.0,30.0,0.73,240,40.08,34.0,240.0,70.0,0.31,1.96
12,Ahmedabad,Kundali,8.19,735,492.0,0.0,403.0,35.0,11.0,17.0,0.37,330,44.0,49.0,310.0,45.0,0.26,1.11
13,Amreli,Punjapadar,7.08,436,292.0,0.0,183.0,35.0,0.39,38.0,0.51,150,24.0,4.9,80.0,68.0,4.2,3.31
14,Amreli,Sanaliya,8.15,1916,1284.0,0.0,281.0,241.0,20.0,450.0,0.88,230,56.0,49.0,340.0,323.0,1.8,7.62
15,Amreli,Luvariya 1,8.19,996,667.0,0.0,573.0,28.0,20.0,19.0,2.5,470,28.0,7.3,100.0,198.0,4.9,8.61
16,Amreli,Lathi,8.18,1055,707.0,0.0,390.0,149.0,12.0,41.0,0.50,320,36.0,32.0,220.0,157.0,0.23,4.6
17,Amreli,Tajpur,7.85,444,297.0,0.0,220.0,28.0,5.5,19.0,0.40,180,40.0,15.0,160.0,37.0,1.94,1.27
18,Amreli,Chavand,8.09,607,407.0,0.0,305.0,35.0,5.2,23.0,0.40,250,40.0,27.0,210.0,58.0,0.9,1.74
19,Amreli,Untvad,7.99,1215,814.0,0.0,244.0,156.0,174.0,57.0,0.42,200,128.0,46.0,510.0,63.0,0.38,1.21
20,Amreli,Kotadapitha,8.09,385,258.0,0.0,183.0,28.0,4.8,16.0,0.40,150,24.0,19.0,140.0,30.0,1.94,1.1
21,Amreli,DhraiValmukund,8.19,465,312.0,0.0,256.0,14.0,6.9,10.0,0.36,210,32.0,17.0,150.0,49.0,0.29,1.74
22,Amreli,Bhildi,8.07,620,415.0,0.0,317.0,35.0,14.0,18.0,0.55,260,40.0,19.0,180.0,71.0,0.21,2.3
23,Amreli,AnkodiaMota,7.76,1278,856.0,0.0,366.0,170.0,94.0,85.0,0.33,300,72.0,56.0,410.0,136.0,1.2,2.92
24,Amreli,Kunkavav,7.82,1306,875.0,0.0,305.0,199.0,68.0,101.0,0.22,250,60.0,54.0,370.0,143.0,0.71,3.23
25,Amreli,Vaghania juna,8.02,1296,868.0,0.0,598.0,106.0,35.0,41.0,1.1,490,28.0,39.0,230.0,220.0,8.05,6.31
26,Amreli,Bagasara,7.81,3589,2405.0,0.0,403.0,780.0,230.0,260.0,0.46,330,132.0,187.0,1101.0,357.0,0.39,4.68
27,Amreli,Amreli,7.4,1280,858.0,0.0,317.0,199.0,50.0,96.0,0.14,260,100.0,39.0,410.0,112.0,1.3,2.4
28,Amreli,Govadka,7.58,507,340.0,0.0,195.0,50.0,18.0,26.0,0.29,160,32.0,19.0,160.0,50.0,9.5,1.72
29,Amreli,Vankiya,7.86,725,486.0,0.0,342.0,57.0,13.0,28.0,0.69,280,16.0,12.0,90.0,136.0,0.67,6.23
30,Amreli,Chalala,8.2,580,389.0,0.0,220.0,71.0,8.8,32.0,0.22,180,36.0,27.0,200.0,52.0,0.99,1.6
31,Amreli,Morjhar,7.83,833,558.0,0.0,293.0,121.0,22.0,30.0,0.18,240,60.0,44.0,330.0,61.0,0.3,1.46
