S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
1,Ahmedabad,BARWALA,Barvala,8.25,5090,3410,450,80,60,937,0.3,0,891,959,24,346,2.8,730,0.033
2,Ahmedabad,DHANDHUKA,Dhandhuka1,8.23,14210,9521,1300,180,207,3220,9.9,0,1013,3373,1600,1290,6.64,830,0.641
3,Ahmedabad,VIRAMGAM,Endla,8.17,685,459,220,52,22,49,13.6,0,305,50,2,2,0.44,250,0
4,Ahmedabad,VIRAMGAM,Kumarkhan,8.19,10660,7142,800,140,109,1875,7.2,0,988,2485,32,443,11.2,810,0.082
5,Ahmedabad,RANPUR,Kundali,8.03,1300,871,280,64,29,210,3.7,0,305,85,230,171,0.5,250,0
6,Ahmedabad,MANDAL,Mandal2,8.18,4222,2829,460,64,73,772,6.1,0,549,1008,3,235,0.56,450,0
7,Ahmedabad,RANPUR,Rajpada,8.11,1094,733,650,104,95,147,12.8,0,610,256,100,20,0.89,500,0.161
8,Ahmedabad,DHANDHUKA,Tagadi1,8.26,3934,2636,620,48,122,620,22.8,0,488,994,115,46,2.8,400,0.016
9,Ahmedabad,MANDAL,Ughraj1,8.13,2628,1761,900,248,68,184,41.4,0,390,625,68,30,0.45,320,0.05
10,Ahmedabad,VIRAMGAM,Viramgam2,8.18,2654,1778,360,80,39,445,6.9,0,288,582,3,245,0.7,236,0.002
11,Ahmedabad,Barwala,Barla,,,,,,,,Leaked Out,,,,,,,,0.159
12,Amreli,AMRELI,Amreli,7.8,1132,758,340,56,49,129,0.3,0,268,156,56,127,0.13,220,1.301
13,Amreli,KUNDLA-SAVAR,Badhda,8.28,1561,1046,470,48,90,146,1,0,232,391,18,23,0.12,190,0.004
14,Amreli,BAGASARA,Bagasara,8.11,2401,1609,600,80,97,278,0.7,0,195,497,170,188,0.5,160,0
15,Amreli,KHAMBHA,Bhavardi1,7.88,946,634,290,32,51,77,3.1,0,293,71,41,79,0.26,240,0.258
16,Amreli,JAFRABAD,Bherai,8.28,3561,2386,640,64,117,515,21.1,0,622,838,9,42,0.43,510,0.133
17,Amreli,KUNDLA-SAVAR,Bhuva,8.14,11440,7665,1150,80,231,2354,68.5,0,854,3089,245,916,0.88,700,0.138
