WELL NO.,DISTRICT,TALUKA,LOCATION,DATE,PH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,ALK,CA,MG,TH,NA,K,SAR
W231620072033001,Ahmedabad,VIRAMGAM,Endla,May-18,7.14,576.0,385.92,0.0,256.0,43.0,10.0,11.0,0.665,210.0,56.0,12.0,190.0,41.0,10.1,1.29
W222130072100001,Ahmedabad,DHANDHUKA,Gamph,May-18,7.34,2877.0,1927.59,0.0,1013.0,319.0,68.0,65.0,0.712,830.0,156.0,22.0,480.0,386.0,75.0,7.66
W225400072010001,Ahmedabad,VIRAMGAM,Kumarkhan,May-18,7.55,6170.0,4133.9,0.0,1501.0,667.0,68.0,560.0,1.182,1230.0,300.0,109.0,1200.0,820.0,37.3,10.29
W221610071420001,Ahmedabad,RANPUR,Kundali,May-18,7.74,820.0,549.4,0.0,281.0,99.0,48.0,10.0,0.834,230.0,52.0,19.0,210.0,98.0,0.6,2.94
W231630071550001,Ahmedabad,MANDAL,Mandal2,May-18,7.84,2892.0,1937.64,0.0,390.0,787.0,4.0,5.0,0.72,320.0,104.0,41.0,430.0,460.0,3.4,9.64
W221830071413001,Ahmedabad,RANPUR,Rajpada,May-18,7.63,800.0,536.0,0.0,134.0,113.0,19.0,115.0,0.937,110.0,60.0,17.0,220.0,86.0,3.6,2.52
W230830072020001,Ahmedabad,VIRAMGAM,Viramgam2,May-18,7.87,4840.0,3242.8,0.0,464.0,1241.0,6.0,255.0,0.903,380.0,140.0,158.0,1000.0,660.0,10.3,9.07
,Ahmedabad,BAVLA,Bavla,May-18,7.19,2593.0,1737.31,0.0,421.0,454.0,10.0,280.0,0.94,345.0,80.0,10.0,240.0,474.0,2.1,13.3
W213630071133001,Amreli,AMRELI,Amreli,May-18,7.44,1719.0,1151.73,0.0,622.0,206.0,80.0,15.0,0.602,510.0,156.0,36.0,540.0,142.0,9.1,2.66
W213845071063001,Amreli,AMRELI,Ankadia mota,May-18,8.02,1765.0,1182.55,0.0,427.0,99.0,43.0,341.0,0.743,350.0,96.0,2.0,250.0,289.0,2.8,7.95
W211557071202001,Amreli,KUNDLA-SAVAR,Badhda,May-18,7.57,1822.0,1220.74,0.0,488.0,206.0,46.0,177.0,0.342,400.0,156.0,58.37,630.0,128.0,0.8,2.22
