DISTRICT,LOCATION,PH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,ALK,CA,MG,TH,NA,K,SAR
Ahmedabad,Ayodhyapuram,8.54,2394,1604,132,671,284.0,26.0,119.0,1.8,770,32,39.0,240,475.0,7.9,16.7
Ahmedabad,Barvala,8.52,5749,3852,168,830,767.0,19.0,860.0,1.8,960,40,68.0,380,1198.0,0.3,20.0
Ahmedabad,Dalod,8.5,20980,14057,200,1025,6000.0,78.0,557.0,3.5,1173,200,1277.0,5750,2016.0,63.0,11.6
Ahmedabad,Devaliya,8.23,2618,1754,0,524,412.0,43.0,236.0,0.88,430,24,24.0,160,525.0,1.4,14.2
Ahmedabad,Dhandhuka,8.19,14330,9601,0,1232,3124.0,1058.0,906.0,5.0,1010,120,304.0,1550,3025.0,20.0,38.7
Ahmedabad,Endla,8.03,755,506,0,354,50.0,16.0,16.0,0.52,290,52,34.0,270,45.0,10.0,1.2
Ahmedabad,Ghuma,7.57,4245,2844,0,817,717.0,43.0,342.0,0.75,670,108,117.0,750,474.0,200.0,7.5
Ahmedabad,Kundal,7.96,1951,1307,0,427,298.0,2.0,188.0,1.53,350,36,24.0,190,363.0,1.48,11.4
Ahmedabad,Rajpara,7.98,679,455,0,244,64.0,23.0,25.0,0.65,200,28,27.0,180,70.0,0.5,15.1
Ahmedabad,Tagadi,8.12,3430,2298,0,500,515.0,85.0,394.0,0.73,410,144,107.0,800,380.0,30.0,33.6
Ahmedabad,Vallabipur,8.3,6845,4586,0,976,1740.0,9.6,594.0,1.7,800,100,134.0,800,1310.0,1.3,30.1
Amreli,Ankadia Mota,8.12,1051,704,0,403,78.0,72.0,31.0,0.41,330,40,44.0,280,118.0,0.7,18.4
Amreli,Bagasara,7.82,2812,1884,0,366,540.0,158.0,205.0,0.5,300,120,126.0,820,274.0,0.9,31.8
Amreli,Bhavardi,7.94,1370,918,0,573,128.0,18.0,60.0,0.39,470,108,56.0,500,93.0,7.4,29.1
Amreli,Bherai,8.14,3602,2413,0,573,852.0,8.0,104.0,0.45,470,64,129.0,740,489.0,30.0,28.3
Amreli,Bhuva,8.09,10470,7015,0,952,2840.0,180.0,607.0,1.2,780,100,207.0,1100,2030.0,115.0,33.2
Amreli,Chalala,7.57,4609,3088,0,451,1108.0,183.0,124.0,0.15,370,152,223.0,1300,463.0,0.5,37.9
Amreli,Chavand,8.05,587,393,0,293,36.0,10.0,25.0,0.32,240,36,24.0,190,64.0,0.3,16.9
Amreli,Govadka,7.91,2740,1836,0,354,568.0,131.0,191.0,0.45,290,88,112.0,680,350.0,0.9,27.9
Amreli,Hippavadli,9.11,2282,1529,168,805,99.0,34.0,34.0,1.4,940,16,24.0,140,465.0,4.8,12.4
Amreli,Kadiyali,7.87,4827,3234,0,586,1278.0,23.0,64.0,1.3,480,240,68.0,880,697.0,11.0,46.4
Amreli,Kerala,8.06,1599,1071,0,500,263.0,25.0,32.0,0.25,410,32,22.0,170,304.0,0.9,15.8
Amreli,Khambha,7.76,1008,675,0,366,85.0,103.0,40.0,0.24,300,52,54.0,350,89.0,0.4,20.7
Amreli,Kunkvav,7.99,1305,874,0,293,227.0,32.0,60.0,0.45,240,88,51.0,430,103.0,1.2,26.2
Amreli,Lathi,7.8,1749,1172,0,573,284.0,14.0,65.0,0.36,470,44,75.0,420,251.0,0.6,21.1
Amreli,Luvaria,8.22,931,624,0,488,28.0,9.5,9.0,3.9,400,8,10.0,60,184.0,0.4,8.3
Amreli,Mandal,7.99,2772,1857,0,427,596.0,139.0,63.0,0.76,350,80,34.0,340,479.0,4.2,25.4
Amreli,Piyava,8.3,1454,974,0,708,92.0,29.0,20.0,0.45,580,20,39.0,210,253.0,1.6,14.6
Amreli,Punjapadar,799.0,628,421,0,329,36.0,4.0,17.0,0.86,270,24,7.0,90,108.0,7.2,14.8
Amreli,Tajpur,7.82,331,222,0,171,21.0,1.0,17.0,0.3,140,28,19.0,150,18.0,2.3,15.0
Amreli,Timbi,7.84,3151,2111,0,549,575.0,188.0,198.0,0.93,450,48,107.0,560,450.0,32.0,23.5
Amreli,Untvad,7.75,1088,729,0,281,121.0,200.0,34.0,0.41,230,92,46.0,420,77.0,0.7,26.9
Amreli,Vaghania Juna,8.25,1895,1270,0,366,333.0,124.0,150.0,0.64,300,16,65.0,310,350.0,11.3,16.7
Amreli,Vanda,8.54,4072,2728,204,1122,469.0,28.0,145.0,1.2,1260,80,15.0,260,838.0,0.9,29.2
Amreli,Vankiya,7.97,680,456,0,256,57.0,39.0,30.0,0.36,210,52,32.0,260,42.0,0.23,20.0
Amreli,Vankiya,8.29,918,615,0,427,57.0,19.0,26.0,0.51,350,16,17.0,110,168.0,0.9,11.6
Anand,Adas_DW,8.25,1354,907,0,561,99.0,80.0,70.0,0.46,460,24,133.0,610,64.0,1.2,23.0
Anand,Anand,7.83,1567,1050,0,720,128.0,21.0,76.0,0.65,590,84,56.0,440,185.0,4.4,3.8
Anand,Anklav2,8.13,1174,787,0,561,92.0,37.0,33.0,0.43,460,20,68.0,330,148.0,1.7,17.4
Anand,Bhadran (Utiyapara),8.2,1325,888,0,622,99.0,32.0,49.0,0.79,510,32,90.0,450,128.0,1.3,2.6
Anand,Boriyavi,8.15,1095,734,0,488,107.0,27.0,38.0,0.52,400,20,56.0,280,142.0,16.5,16.3
Anand,Dharmaj,8.3,1386,929,0,549,142.0,41.0,38.0,0.61,450,24,46.0,250,216.0,2.5,16.0
Anand,Kansari1,7.94,3524,2361,0,610,794.0,6.8,49.0,0.42,500,52,22.0,220,650.0,21.0,19.1
Anand,Parvata,7.45,1043,699,0,500,71.0,19.0,46.0,0.99,410,32,51.0,290,130.0,0.7,3.3
Anand,Ras,8.54,1446,969,60,573,128.0,13.0,32.0,3.0,470,12,17.0,100,323.0,1.4,14.0
Anand,Tol,8.11,679,455,0,305,57.0,5.0,37.0,0.77,250,36,34.0,230,57.0,10.2,17.1
Banaskantha,Amirgadh,8.35,2031,1361,60,439,341.0,53.0,123.0,0.83,460,44,102.0,530,285.0,2.2,5.4
Banaskantha,Bharol1,8.48,705,472,60,293,50.0,4.9,15.0,0.45,340,80,24.0,300,32.0,49.0,0.8
Banaskantha,Dantiwada,8.15,492,330,0,220,43.0,34.0,16.0,0.33,180,56,22.0,230,28.0,0.62,0.8
Banaskantha,Gangodra,8.02,566,379,0,232,57.0,42.0,22.0,0.28,190,48,34.0,260,35.0,0.94,0.9
Banaskantha,Iqbalgarh,8.12,3043,2039,0,439,710.0,34.0,110.0,2.7,360,180,107.0,890,300.0,14.0,4.4
Banaskantha,Jhat,8.6,1343,900,48,439,135.0,25.0,75.0,1.4,440,16,15.0,100,295.0,26.0,13.0
