Sl.,District,Site,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F, Alk,Ca,Mg,TH,Na,K,SAR
1,Ahmedabad,Dalod,8.2,16640,11149,0,1257,5176,26,822,1,1030.82,152,260,1451,3535,45,40
2,Ahmedabad,Endla,7.35,715,479,0,354,50,0.23,18,0.46,290,56,34,280,47,11,1.2
3,Ahmedabad,Viramgam,8.08,2810,1883,0,329,596,4.9,230,0.32,270,16,19,120,541,4.4,21.5
4,Ahmedabad,Kumar Khan,7.34,6118,4099,0,1403,1120,21,397,3.5,1150.92,148,61,620,1100,63,19.2
5,Ahmedabad,Kundal,7.7,1243,833,0,354,184,2.2,64,0.73,290,44,24,210,178,1.7,5.3
6,Ahmedabad,Bavla,7.48,4998,3349,0,342,1092,11,580,0.52,280,152,41,550,863,2.7,16
7,Ahmedabad,Dhandhuka1,8.2,7328,4910,0,1135,1546,220,494,5,931,72,122,681,1384,44,23.08
8,Ahmedabad,Tagadi1,8.1,2960,1983,0,427,269,43,798,0.8,350,132,54,550,437,24,8.1
9,Ahmedabad,Barvala,8.19,7338,4916.46,0,1293,1198,33,1002,3.8,1060.85,32,73,380,1550,0.27,34.571
10,Ahmedabad,Lonjdhara,8.18,1264,847,0,500,142,49,30,2.4,410,20,29,170,225,0.51,7.5
11,Ahmedabad,Rajpada,8.08,708,474,0,293,57,37,30,0.73,240,40.08,34,240,70,0.31,1.96
12,Ahmedabad,Kundali,8.19,735,492,0,403,35,11,17,0.37,330,44,49,310,45,0.26,1.11
13,Amreli,Punjapadar,7.08,436,292,0,183,35,0.39,38,0.51,150,24,4.9,80,68,4.2,3.31
14,Amreli,Sanaliya,8.15,1916,1284,0,281,241,20,450,0.88,230,56,49,340,323,1.8,7.62
15,Amreli,Luvariya 1,8.19,996,667,0,573,28,20,19,2.5,470,28,7.3,100,198,4.9,8.61
16,Amreli,Lathi,8.18,1055,707,0,390,149,12,41,0.5,320,36,32,220,157,0.23,4.6
17,Amreli,Tajpur,7.85,444,297,0,220,28,5.5,19,0.4,180,40,15,160,37,1.94,1.27
18,Amreli,Chavand,8.09,607,407,0,305,35,5.2,23,0.4,250,40,27,210,58,0.9,1.74
19,Amreli,Untvad,7.99,1215,814,0,244,156,174,57,0.42,200,128,46,510,63,0.38,1.21
20,Amreli,Kotadapitha,8.09,385,258,0,183,28,4.8,16,0.4,150,24,19,140,30,1.94,1.1
21,Amreli,DhraiValmukund,8.19,465,312,0,256,14,6.9,10,0.36,210,32,17,150,49,0.29,1.74
22,Amreli,Bhildi,8.07,620,415,0,317,35,14,18,0.55,260,40,19,180,71,0.21,2.3
23,Amreli,AnkodiaMota,7.76,1278,856,0,366,170,94,85,0.33,300,72,56,410,136,1.2,2.92
24,Amreli,Kunkavav,7.82,1306,875,0,305,199,68,101,0.22,250,60,54,370,143,0.71,3.23
25,Amreli,Vaghania juna,8.02,1296,868,0,598,106,35,41,1.1,190,28,39,230,220,8.05,6.31
26,Amreli,Bagasara,7.81,3589,2405,0,403,780,230,260,0.46,330,132,187,1101,357,0.39,4.68
27,Amreli,Amreli,7.4,1280,858,0,317,199,50,96,0.14,260,100,39,410,112,1.3,2.4
28,Amreli,Govadka,7.58,507,340,0,195,50,18,26,0.29,160,32,19,160,50,9.5,1.72
29,Amreli,Vankiya,7.86,725,486,0,342,57,13,28,0.69,280,16,12,90,136,0.67,6.23
30,Amreli,Chalala,8.2,580,389,0,220,71,8.8,32,0.22,180,36,27,200,52,0.99,1.6
31,Amreli,Morjhar,7.83,833,558,0,293,121,22,30,0.18,240,60,44,330,61,0.3,1.46
32,Amreli,Kerala,8.09,1369,917,0,500,206,23,36,0.41,410,28,12,120,286,0.68,11.4
33,Amreli,Charkhadia1,7.57,1152,772,0,622,50,17,35,2.25,510,16,2.4,50,262,2.9,16.1
34,Amreli,Bhuva,8.13,9343,6260,0,805,2552,221,560,0.84,661,40,151,721,2008,81,32.5
35,Amreli,Dharangani,7.99,1687,1130,0,293,347,135,64,0.29,240,96,61,490,188,0.86,3.69
36,Amreli,Ingorala,8.19,676,453,0,342,35,16,30,0.31,280,60,29,270,47,0.52,1.24
37,Amreli,Virpur,7.3,1098,736,0,488,57,90,51,0.25,400,104,46,450,65,3.5,1.33
38,Amreli,Timbi2,8.2,2073,1389,0,451,390,85,112,0.83,370,48,66,390,341,19,7.51
39,Amreli,Kadiyali,8.38,2680,1796,24,342,674,8.9,27,1,320,132,29,450,363,12,7.44
40,Amreli,Jafrabad,8.15,3374,2261,0,549,645,150,177,0.61,450,40,54,320,528,210,12.83
41,Amreli,Lotpur,8.2,8755,5866,0,256,2567,114,477,0.27,210,64,179.968,901,1698,6.1,24.61
42,Amreli,Bherai,8.43,3112,2085,36,683,581,46,154,0.86,620,32,90,450,515,13,10.56
43,Amreli,Nageshri,7.73,1390,931,0,476,156,49,107,0.27,390,72,46,370,164,7.5,3.71
44,Amreli,Trakuda,7.46,452,303,0,171,50,0.76,26,0.27,140,36,15,150,44,1.5,1.56
45,Amreli,Khamba,8.2,698,468,0,366,35,24,22,0.26,300,48,29,240,68,0.41,1.91
46,Amreli,Vankiya1,8.19,1408,943,0,464,142,136,85,0.28,380,92,58,470,136,1.9,2.73
47,Amreli,Badhda,8.18,1275,854,0,244,177,124,100,0.21,200,52,73,430,101,0.79,2.12
48,Amreli,Goradka,7.7,1324,887,0,183,234,135,97,0.23,150,104,66,530,86,0.64,1.62
49,Amreli,Mandal,7.92,1976,1324,0,329,376,123,101,0.59,270,68,71,460,268,3.9,5.43
50,Amreli,Piyava,8.22,1260,844,0,659,78,33,20,0.39,540,28,36,220,220,0.37,6.45
51,Amreli,Hipabadli,9.14,2657,1780,78,1198,113,26,54,2.25,1112,8,17,90,580,7.26,26.6
52,Anand,Parvata,8.33,1148,769.16,36,476,71,6.9,76,0.93,450,40,78,420,96,1.9,2.04
53,Anand,Adas,8.06,1216,814.72,0,512,92,91,39,0.52,420,36,102,510,75,1.2,1.44
54,Anand,Anklav,8.19,1476,988.92,0,683,121,37,53,0.73,560,36,124,600,97,2,1.72
