S.N.,DISTRICT,LOCATION,LATITUDE,LONGITUDE,PH,EC,TDS,TH,CO3,HCO3,CL,S04,NO3,F,ALK,CA,MG,NA,K,SIO2,SAR
513.0,Surendranagar,Kankavati,23.06389,71.36444,7.83,1932,1294,390.0,0.0,268.0,411.0,90.0,65.0,0.69,220.0,88.0,41.0,262.0,2.6,32.0,5.77
514.0,Surendranagar,Khambhada,22.89278,71.52361,8.2,2321,1555,410.0,0.0,561.0,369.0,135.0,23.0,0.52,460.0,124.0,24.0,294.0,107.0,27.0,6.31
515.0,Surendranagar,Rajsitapur,22.83778,71.59667,7.64,2678,1794,801.0,0.0,171.0,837.0,39.0,1.5,0.48,140.0,208.0,68.0,272.0,5.1,31.0,4.18
516.0,Surendranagar,Latuda,22.79841,71.61542,7.96,1540,1032,370.0,0.0,293.0,326.0,66.0,0.95,3.0,240.0,76.0,44.0,174.0,6.7,30.0,3.93
517.0,Surendranagar,Surendranagar 2,22.71722,71.61667,8.19,3166,2121,350.0,0.0,659.0,610.0,190.0,33.0,2.7,540.0,48.0,56.0,618.0,2.6,56.0,14.36
518.0,Surendranagar,Muli,22.63889,71.46417,7.86,6755,4526,1211.0,0.0,415.0,1843.0,250.0,88.0,3.3,340.0,192.0,178.0,1012.0,2.9,72.0,12.65
519.0,Surendranagar,Sadla/Sarla,22.73389,71.36889,8.39,2175,1457,620.0,60.0,378.0,425.0,150.0,14.0,0.92,410.0,172.0,46.0,237.0,57.0,31.0,4.14
520.0,Surendranagar,Nava Raisngpur,22.73694,71.27028,7.87,4700,3149,1191.0,0.0,232.0,1347.0,210.0,96.0,0.2,190.0,381.0,58.0,582.0,1.2,21.0,7.34
521.0,Surendranagar,Tarnetar,22.64222,71.21139,8.18,4285,2871,751.0,0.0,293.0,1219.0,208.0,13.0,0.47,240.0,200.0,61.0,696.0,5.1,21.0,11.05
522.0,Surendranagar,Ratanpur 1,22.85528,71.27444,7.82,3995,2677,851.0,0.0,390.0,964.0,212.0,48.0,2.5,320.0,140.0,122.0,540.0,3.1,24.0,8.05
523.0,Surendranagar,Anindra,22.82944,71.69222,8.19,522,350,190.0,0.0,195.0,57.0,23.0,1.5,0.57,160.0,60.0,10.0,32.0,6.3,17.0,1.01
524.0,Surendranagar,Modhwana,22.93528,71.74139,7.84,385,258,150.0,0.0,195.0,21.0,10.0,2.0,0.36,160.0,52.0,5.0,26.0,2.9,20.0,0.92
525.0,Surendranagar,Kherwa,23.00056,71.74333,8.06,1447,969,310.0,0.0,232.0,262.0,135.0,0.83,0.74,190.0,76.0,29.0,182.0,7.4,16.0,4.49
526.0,Surendranagar,Piplidham,23.06861,71.71389,8.14,458,307,150.0,0.0,207.0,28.0,19.0,2.0,0.44,170.0,36.0,15.0,40.0,3.6,18.0,1.42
527.0,Surendranagar,Bajana,23.11361,71.78306,7.99,710,476,170.0,0.0,171.0,113.0,53.0,2.9,0.4,140.0,52.0,10.0,90.0,6.03,17.0,3.0
528.0,Surendranagar,Kharaghoda,23.1875,71.75083,7.67,19220,12877,5454.0,0.0,256.0,6665.0,593.0,9.3,0.87,210.0,313.0,1136.0,2390.0,22.0,1.0,14.08
529.0,Surendranagar,Visavadi,23.3425,71.73444,8.32,3066,2054,570.0,48.0,427.0,752.0,57.0,7.8,1.2,430.0,120.0,66.0,428.0,26.0,39.0,7.79
