DISTRICT,LOCATION,PH,EC,TDS,TH,CA,MG,NA,K,CO3,HCO3,CL,NO3,SO4,F,ALK,YEAR,SAR,WQI,WQI_CLASSIF,EWQI,EWQI_CLASSIF,CCME-WQI,CCME-WQI_CLASSIF
Ahmedabad,Barvala,8.25,5090.0,3410.0,450.0,80.0,60.0,937.0,0.3,0.0,891.0,959.0,24.0,346.0,2.8,730.0,2017,,179.17917424174686,Unsuitable,307.65592401280924,Unsuitable,226.99515857168217,
Ahmedabad,Dhandhuka1,8.23,14210.0,9521.0,1300.0,180.0,207.0,3220.0,9.9,0.0,1013.0,3373.0,1600.0,1290.0,6.64,830.0,2017,,503.1684021465211,Unsuitable,1274.5335975076136,Unsuitable,636.464313323557,
Ahmedabad,Endla,8.17,685.0,459.0,220.0,52.0,22.0,49.0,13.6,0.0,305.0,50.0,2.0,2.0,0.44,250.0,2017,,39.97987073518844,Good,59.09570806688294,Poor,246.64180125589746,
Ahmedabad,Kumarkhan,8.19,10660.0,7142.0,800.0,140.0,109.0,1875.0,7.2,0.0,988.0,2485.0,32.0,443.0,11.2,810.0,2017,,623.628660460896,Unsuitable,636.4248482025799,Unsuitable,554.1782123071455,
Ahmedabad,Kundali,8.03,1300.0,871.0,280.0,64.0,29.0,210.0,3.7,0.0,305.0,85.0,230.0,171.0,0.5,250.0,2017,,57.007405282521496,Poor,151.4483136840464,Unsuitable,251.7379580529065,
Ahmedabad,Mandal2,8.18,4222.0,2829.0,460.0,64.0,73.0,772.0,6.1,0.0,549.0,1008.0,3.0,235.0,0.56,450.0,2017,,61.718637429340646,Poor,258.93062846341684,Unsuitable,236.8665641582058,
Ahmedabad,Rajpada,8.11,1094.0,733.0,650.0,104.0,95.0,147.0,12.8,0.0,610.0,256.0,100.0,20.0,0.89,500.0,2017,,81.54222614636214,Very Poor,153.27369593909074,Unsuitable,158.40159877996416,
Ahmedabad,Tagadi1,8.26,3934.0,2636.0,620.0,48.0,122.0,620.0,22.8,0.0,488.0,994.0,115.0,46.0,2.8,400.0,2017,,187.1632319679976,Unsuitable,295.80025563972845,Unsuitable,477.70700718311195,
Ahmedabad,Ughraj1,8.13,2628.0,1761.0,900.0,248.0,68.0,184.0,41.4,0.0,390.0,625.0,68.0,30.0,0.45,320.0,2017,,58.768106263059785,Poor,218.56020726854925,Unsuitable,316.56884394080123,
Ahmedabad,Viramgam2,8.18,2654.0,1778.0,360.0,80.0,39.0,445.0,6.9,0.0,288.0,582.0,3.0,245.0,0.7,236.0,2017,,60.144023385887,Poor,172.41260457944014,Unsuitable,29.204535912997954,Poor
Ahmedabad,Barla,,,,,,,,,,,,,,,,2017,,49.96463499124104,Good,101.45515105292594,Unsuitable,100.0,Excellent
Amreli,Amreli,7.8,1132.0,758.0,340.0,56.0,49.0,129.0,0.3,0.0,268.0,156.0,56.0,127.0,0.13,220.0,2017,,28.44229212820844,Good,104.13376568530056,Unsuitable,194.54714014179893,
Amreli,Badhda,8.28,1561.0,1046.0,470.0,48.0,90.0,146.0,1.0,0.0,232.0,391.0,18.0,23.0,0.12,190.0,2017,,35.86159210800822,Good,133.31940370477236,Unsuitable,194.55975692852576,
Amreli,Bagasara,8.11,2401.0,1609.0,600.0,80.0,97.0,278.0,0.7,0.0,195.0,497.0,170.0,188.0,0.5,160.0,2017,,65.23649259711833,Poor,220.1468394314757,Unsuitable,211.3221199129179,
Amreli,Bhavardi1,7.88,946.0,634.0,290.0,32.0,51.0,77.0,3.1,0.0,293.0,71.0,41.0,79.0,0.26,240.0,2017,,34.269349818032495,Good,86.30395547142119,Very Poor,131.21614892538096,
Amreli,Bherai,8.28,3561.0,2386.0,640.0,64.0,117.0,515.0,21.1,0.0,622.0,838.0,9.0,42.0,0.43,510.0,2017,,61.090325753285846,Poor,240.21389573227967,Unsuitable,365.6798893585501,
Amreli,Bhuva,8.14,11440.0,7665.0,1150.0,80.0,231.0,2354.0,68.5,0.0,854.0,3089.0,245.0,916.0,0.88,700.0,2017,,129.120045980323,Unsuitable,762.344373134157,Unsuitable,596.2320883307086,
Amreli,Chalala,7.62,4292.0,2876.0,1240.0,56.0,268.0,412.0,0.7,0.0,207.0,1051.0,210.0,283.0,0.15,170.0,2017,,71.16068359510824,Poor,379.402375037486,Unsuitable,525.1240911393166,
Amreli,Charkhadia1,8.47,2284.0,1530.0,120.0,40.0,5.0,477.0,3.7,192.0,647.0,156.0,35.0,50.0,1.15,850.0,2017,,85.14802882338722,Very Poor,136.4358248760404,Unsuitable,320.5874634296958,
Amreli,Chavand,8.13,528.0,354.0,200.0,36.0,27.0,52.0,0.3,0.0,268.0,28.0,14.0,40.0,0.35,220.0,2017,,35.602407964845014,Good,55.988484327794296,Poor,246.67050244971102,
Amreli,Dharangani,7.82,1690.0,1132.0,420.0,72.0,58.0,185.0,0.3,0.0,207.0,341.0,130.0,57.0,0.4,170.0,2017,,48.59578295698017,Good,154.18268460332803,Unsuitable,265.42730157345176,
Amreli,Goradka,7.72,1488.0,997.0,590.0,112.0,75.0,73.0,0.3,0.0,207.0,270.0,150.0,69.0,0.31,170.0,2017,,47.06806867741583,Good,161.050314929039,Unsuitable,138.52083501740773,
