YEAR,WELL NO.,LOCATION,DISTRICT,TALUKA,SITE,HCO3,DATE,ALK,TDS,SO4,SAR,NO3,CO3,EC,ID,NA,TH,FE,CA,MG,CL,PH,K,F
2017,,Barvala,Ahmedabad,BARWALA,,891.0,,730.0,3410.0,346.0,,24.0,0.0,5090.0,1.0,937.0,450.0,0.033,80.0,60.0,959.0,8.25,0.3,2.8
2017,,Dhandhuka1,Ahmedabad,DHANDHUKA,,1013.0,,830.0,9521.0,1290.0,,1600.0,0.0,14210.0,2.0,3220.0,1300.0,0.641,180.0,207.0,3373.0,8.23,9.9,6.64
2017,,Endla,Ahmedabad,VIRAMGAM,,305.0,,250.0,459.0,2.0,,2.0,0.0,685.0,3.0,49.0,220.0,0,52.0,22.0,50.0,8.17,13.6,0.44
2017,,Kumarkhan,Ahmedabad,VIRAMGAM,,988.0,,810.0,7142.0,443.0,,32.0,0.0,10660.0,4.0,1875.0,800.0,0.082,140.0,109.0,2485.0,8.19,7.2,11.2
2017,,Kundali,Ahmedabad,RANPUR,,305.0,,250.0,871.0,171.0,,230.0,0.0,1300.0,5.0,210.0,280.0,0,64.0,29.0,85.0,8.03,3.7,0.5
2017,,Mandal2,Ahmedabad,MANDAL,,549.0,,450.0,2829.0,235.0,,3.0,0.0,4222.0,6.0,772.0,460.0,0,64.0,73.0,1008.0,8.18,6.1,0.56
2017,,Rajpada,Ahmedabad,RANPUR,,610.0,,500.0,733.0,20.0,,100.0,0.0,1094.0,7.0,147.0,650.0,0.161,104.0,95.0,256.0,8.11,12.8,0.89
2017,,Tagadi1,Ahmedabad,DHANDHUKA,,488.0,,400.0,2636.0,46.0,,115.0,0.0,3934.0,8.0,620.0,620.0,0.016,48.0,122.0,994.0,8.26,22.8,2.8
2017,,Ughraj1,Ahmedabad,MANDAL,,390.0,,320.0,1761.0,30.0,,68.0,0.0,2628.0,9.0,184.0,900.0,0.05,248.0,68.0,625.0,8.13,41.4,0.45
2017,,Viramgam2,Ahmedabad,VIRAMGAM,,288.0,,236.0,1778.0,245.0,,3.0,0.0,2654.0,10.0,445.0,360.0,0.002,80.0,39.0,582.0,8.18,6.9,0.7
2017,,Barla,Ahmedabad,Barwala,,,,,,,,,,,11.0,,,0.159,,,,,Leaked Out,
2017,,Amreli,Amreli,AMRELI,,268.0,,220.0,758.0,127.0,,56.0,0.0,1132.0,12.0,129.0,340.0,1.301,56.0,49.0,156.0,7.8,0.3,0.13
2017,,Badhda,Amreli,KUNDLA-SAVAR,,232.0,,190.0,1046.0,23.0,,18.0,0.0,1561.0,13.0,146.0,470.0,0.004,48.0,90.0,391.0,8.28,1,0.12
2017,,Bagasara,Amreli,BAGASARA,,195.0,,160.0,1609.0,188.0,,170.0,0.0,2401.0,14.0,278.0,600.0,0,80.0,97.0,497.0,8.11,0.7,0.5
2017,,Bhavardi1,Amreli,KHAMBHA,,293.0,,240.0,634.0,79.0,,41.0,0.0,946.0,15.0,77.0,290.0,0.258,32.0,51.0,71.0,7.88,3.1,0.26
2017,,Bherai,Amreli,JAFRABAD,,622.0,,510.0,2386.0,42.0,,9.0,0.0,3561.0,16.0,515.0,640.0,0.133,64.0,117.0,838.0,8.28,21.1,0.43
2017,,Bhuva,Amreli,KUNDLA-SAVAR,,854.0,,700.0,7665.0,916.0,,245.0,0.0,11440.0,17.0,2354.0,1150.0,0.138,80.0,231.0,3089.0,8.14,68.5,0.88
2017,,Chalala,Amreli,DHARI,,207.0,,170.0,2876.0,283.0,,210.0,0.0,4292.0,18.0,412.0,1240.0,0.962,56.0,268.0,1051.0,7.62,0.7,0.15
2017,,Charkhadia1,Amreli,KUNDLA-SAVAR,,647.0,,850.0,1530.0,50.0,,35.0,192.0,2284.0,19.0,477.0,120.0,0.059,40.0,5.0,156.0,8.47,3.7,1.15
2017,,Chavand,Amreli,LATHI,,268.0,,220.0,354.0,40.0,,14.0,0.0,528.0,20.0,52.0,200.0,0.162,36.0,27.0,28.0,8.13,0.3,0.35
2017,,Dharangani,Amreli,DHARI,,207.0,,170.0,1132.0,57.0,,130.0,0.0,1690.0,21.0,185.0,420.0,0,72.0,58.0,341.0,7.82,0.3,0.4
2017,,Goradka,Amreli,KUNDLA-SAVAR,,207.0,,170.0,997.0,69.0,,150.0,0.0,1488.0,22.0,73.0,590.0,0,112.0,75.0,270.0,7.72,0.3,0.31
2017,,Govadka,Amreli,AMRELI,,293.0,,240.0,2115.0,229.0,,240.0,0.0,3157.0,23.0,380.0,740.0,0.014,112.0,112.0,625.0,7.77,0.9,0.34
2017,,Jafrabad,Amreli,JAFRABAD,,85.0,,70.0,1842.0,119.0,,18.0,0.0,2749.0,24.0,499.0,200.0,0.045,72.0,5.0,753.0,7.87,39.1,0.48
2017,,Kerala,Amreli,DHARI,,598.0,,490.0,1170.0,13.0,,31.0,0.0,1746.0,25.0,287.0,250.0,0.073,56.0,27.0,241.0,8.28,4.6,0.25
2017,,Khamba,Amreli,KHAMBHA,,305.0,,250.0,656.0,82.0,,75.0,0.0,979.0,26.0,105.0,260.0,1.132,28.0,46.0,64.0,8.15,1.7,0.2
2017,,Kotadapitha,Amreli,BABRA,,183.0,,150.0,226.0,14.0,,8.0,0.0,338.0,27.0,19.0,150.0,3.03,36.0,24.0,14.0,7.99,3,0.2
2017,,Kunkavav,Amreli,KUNKAVAV-VADIA,,85.0,,70.0,1601.0,65.0,,190.0,0.0,2390.0,28.0,250.0,720.0,0.024,124.0,100.0,680.0,7.8,1.5,0.4
2017,,Lathi,Amreli,LATHI,,354.0,,290.0,843.0,77.0,,49.0,0.0,1258.0,29.0,177.0,280.0,0.09,36.0,46.0,178.0,7.9,0.4,0.25
2017,,Lotpur,Amreli,JAFRABAD,,305.0,,250.0,1587.0,206.0,,13.0,0.0,2368.0,30.0,390.0,340.0,0.19,48.0,54.0,497.0,8.24,3.2,0.89
2017,,Luvariya,Amreli,LATHI,,549.0,,450.0,727.0,68.0,,29.0,0.0,1085.0,31.0,221.0,140.0,0.152,28.0,17.0,50.0,8.28,7.2,2.0
