Station Name,Agency Name,State Name,District Name,Basin Name,Sub Basin Name,Date Collection,Longitude,Latitude,caco3,pH_Field,Mg Caco3,Tritium,Solids(Total),PCB-1242,Fecal Streptococci (MPN/100ml),Barium,Odour,Ammonia-N (mg/L),"Nitrogen,Organic",Calcium Hardness (mg/L),Phosphorus(Total),Dissolved Oxygen (mg/L),Biochemical Oxygen Demand (mg/L),Zinc (mg/L),_do,_401,Aldrin,Carbonate (mg/L),DDT,"Phosphorus, ortho-phosphate (mg/L)",Alkalinity(Total),no2__n,Silicate(SiO3),Silicate (SiO2) (mg/L),Strontium,Total Dissolved Solids (mg/L),Fecal Coliforms (MPN/100ml),Secchi Depth,Potassium (mg/L),Har_mg,Chemical Oxygen Demand (mg/L),Bod,Turbidity (NTU),"Alkalinity, Phenolphthalein (mg/L)",Cyanide,Chloride (mg/L),Calcium (mg/L),Cadmium (mg/L),"Nitrogen, Total Oxidised (NO2+NO3)",Oxygen(18),Chromium (mg/L),Copper,Lead (mg/L),"Nitrogen, Nitrite",Total Organic Carbon,ph,Nitrate (mg/L),Dieldrin,Bicarbonate (mg/L),Sulphate (mg/L),Total Coliforms (MPN/100ml),Mercury (mg/L),Magnesium (mg/L),Boron (mg/L),Total phenols,Temperature,Fluoride (mg/L),Manganese (mg/L),Radon,Total Hardness (mg/L),Endosulphan,Colour,Silver (mg/L),Gamma-BHC(Benzene HexaChloride),"2,4-D",Aluminium,Sodium Absorption Ratio,Electrical Conductivity (µS/cm) at 25°C),Nickel (mg/L),Sodium (mg/L),Uranium,Percent Sodium,Fluoranthene,Chlorophyll-a,Dissolved Oxygen Saturation(%),pH,as,Iron (mg/L),Carbon(14),Electrical Conductivity Field,Residual Sodium Carbonate,"Solids,Suspended",Total Alkalinity (mg/L),Selenium (mg/L),Arsenic (mg/L),Dissolved Oxygen1 (mg/L),Dissolved Oxygen2 (mg/L),Electrical Conductivity (mumhos/cm) at 25 C),pH2,ph1
Abrama,CGWB,Gujarat,Navsari,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,2017-05,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,,-,-,-,1711.18,-,-,15.9,,-,,-,-,-,909,104,,-,-,-,-,-,-,-,-,-,-,464,60.2346,-,-,121.578,-,-,-,0.42,-,-,760,-,-,-,-,-,-,7.22322,2554,-,458,-,-,-,-,-,8.28,-,0.202,-,-,-7.58254,-,380.328,-,-,-,-,-,-,-
Abrama,CGWB,Gujarat,Navsari,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,2018-05,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,,-,0,-,2338,-,-,12.8,,-,,-,-,-,951,120,,-,-,-,-,-,-,-,-,-,-,256,135,-,-,126,-,-,-,0.45,-,-,820,-,-,-,-,-,-,6.24,3489,-,411,-,-,-,-,-,7.88,-,0,-,-,-12.1909,-,210,-,-,-,-,-,-,-
Abrama,CGWB,Gujarat,Navsari,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,2021-05,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,,-,-,-,-,-,-,1.08063,,-,,-,-,-,101.5,48,,-,-,-,-,-,-,-,-,-,-,170.8,21.38,-,-,14.4,-,-,-,0.14,-,-,180,-,-,-,-,-,-,-,747,-,53.39,-,-,-,-,-,7.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adas_Dw,CGWB,Gujarat,Anand,Mahi Basin,Mahi Lower,2017-05,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,930.63,-,-,1.3,,-,,-,-,-,99,68,,-,-,-,-,-,-,-,-,-,-,539,107.995,-,-,109.402,-,-,-,0.43,-,-,620,-,-,-,-,-,-,1.18737,1389,-,68,-,-,-,-,-,7.93,-,0,-,-,-3.55547,-,441.803,-,-,-,-,-,-,-
Adas_Dw,CGWB,Gujarat,Anand,Mahi Basin,Mahi Lower,2018-05,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,,-,0,-,700,-,-,1.9,,-,,-,-,-,106,60,,-,-,-,-,-,-,-,-,-,-,366,5,-,-,58,-,-,-,1.06,-,-,390,-,-,-,-,-,-,1.32,1045,-,60,-,-,-,-,-,6.72,-,0,-,-,-1.79475,-,300,-,-,-,-,-,-,-
Adas_Dw,CGWB,Gujarat,Anand,Mahi Basin,Mahi Lower,2019-05,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,,-,-,-,786.58,-,-,1.2,,-,,-,-,-,99,24,,-,-,-,-,-,-,-,-,-,-,561,-,-,-,133,-,-,-,0.46,-,-,610,-,-,-,-,-,-,-,1354,-,64,-,-,-,-,-,8.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adas_Dw,CGWB,Gujarat,Anand,Mahi Basin,Mahi Lower,2020-05,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,-,-,-,1.2,,-,,-,-,-,99,24,,-,-,-,-,-,-,-,-,-,-,561,-,-,-,133,-,-,-,0.46,-,-,-,-,-,-,-,-,-,-,1354,-,64,-,-,-,-,-,8.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adas_Dw,CGWB,Gujarat,Anand,Mahi Basin,Mahi Lower,2021-05,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,,-,-,-,-,-,-,2.52,,-,,-,-,-,25.88,17.1,,-,-,-,-,-,-,-,-,-,-,44.3,7.12,-,-,5.2,-,-,-,0.032,-,-,64,-,-,-,-,-,-,-,210,-,16.78,-,-,-,-,-,7.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adityana,CGWB,Gujarat,Porbandar,West flowing rivers of Kutch and Saurashtra including Luni Basin,Bhadar and other west flowing rivers,2017-05,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,,-,-,-,417.41,-,-,8.1,,-,,-,-,-,113,44,,-,-,-,-,-,-,-,-,-,-,256,23.592,-,-,26.7626,-,-,-,1,-,-,220,-,-,-,-,-,-,2.66749,623,-,91,-,-,-,-,-,7.96,-,0.026,-,-,-0.200449,-,209.836,-,-,-,-,-,-,-
Adityana,CGWB,Gujarat,Porbandar,West flowing rivers of Kutch and Saurashtra including Luni Basin,Bhadar and other west flowing rivers,2018-05,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,,-,0,-,519,-,-,1.6,,-,,-,-,-,149,60,,-,-,-,-,-,-,-,-,-,-,128,35,-,-,22,-,-,-,0.6,-,-,240,-,-,-,-,-,-,1.85,775,-,66,-,-,-,-,-,8.01,-,0,-,-,-2.69815,-,105,-,-,-,-,-,-,-
