DISTRICT,LOCATION,PH,EC,ALK,SO4,CO3,F,MG,HCO3,TDS,YEAR,NO3,TH,CL,NA,CA,K
Ahmedabad,Barvala,7.69,4781.0,1100.0,270.0,0.0,3.25,48.0,1342.0,3203.0,2014,17.0,300.0,780.0,1020.0,40.0,0.4
Ahmedabad,Dhandhuka1,7.56,790.0,290.0,36.0,0.0,2.2,10.0,354.0,529.0,2014,12.0,100.0,43.0,140.0,24.0,17.2
Ahmedabad,Gamph,7.9,2550.0,640.0,10.0,0.0,0.25,72.0,781.0,1709.0,2014,16.0,370.0,461.0,416.0,28.0,37.0
Ahmedabad,Tagadi1,7.8,1492.0,360.0,15.0,0.0,1.75,31.0,439.0,1000.0,2014,17.0,210.0,191.0,210.0,32.0,5.2
Ahmedabad,Dalod,7.73,14520.0,1010.0,439.0,0.0,3.1,216.0,1232.0,9728.0,2014,45.0,1350.0,4361.0,2940.0,180.0,33.0
Ahmedabad,Mandal2,8.06,3581.0,470.0,18.0,0.0,0.54,96.0,573.0,2399.0,2014,10.0,750.0,922.0,490.0,140.0,6.9
Ahmedabad,Kundali,7.42,875.0,310.0,5.0,0.0,0.45,36.0,378.0,586.0,2014,24.0,240.0,85.0,100.0,36.0,0.4
Ahmedabad,Rajpada,8.2,2884.0,440.0,91.0,0.0,0.43,168.0,537.0,1932.0,2014,250.0,1200.0,567.0,160.0,200.0,4.5
Ahmedabad,Endla,7.92,698.0,260.0,37.0,0.0,0.5,38.0,317.0,468.0,2014,2.0,230.0,35.0,56.0,28.0,9.5
Ahmedabad,Kumarkhan,8.1,9840.0,820.0,628.0,0.0,2.4,216.0,1000.0,6593.0,2014,46.0,1200.0,2730.0,1940.0,120.0,25.0
Ahmedabad,Viramgam2,7.59,5050.0,420.0,198.0,0.0,0.8,84.0,512.0,3384.0,2014,4.0,650.0,1383.0,900.0,120.0,9.5
Amreli,Govadka,7.9,1872.0,220.0,81.0,0.0,0.15,80.0,268.0,1254.0,2014,26.0,500.0,419.0,195.0,68.0,11.6
Amreli,Vankiya,8.2,1150.0,340.0,2.0,0.0,0.2,56.0,415.0,771.0,2014,145.0,400.0,92.0,88.0,68.0,0.3
Amreli,Untvad,8.0,995.0,250.0,2.0,0.0,0.26,34.0,305.0,667.0,2014,170.0,370.0,71.0,56.0,92.0,0.2
Amreli,Bagasara,7.9,2960.0,360.0,72.0,0.0,0.45,161.0,439.0,1983.0,2014,200.0,960.0,639.0,253.0,120.0,0.0
Amreli,Vaghania juna,8.2,1324.0,490.0,31.0,0.0,0.9,27.0,598.0,887.0,2014,18.0,180.0,114.0,240.0,28.0,6.7
Amreli,Chalala,8.2,620.0,220.0,12.0,0.0,0.1,24.0,268.0,415.0,2014,3.0,230.0,71.0,49.0,52.0,2.3
Amreli,Dharangani,7.8,1790.0,270.0,41.0,0.0,0.2,71.0,329.0,1199.0,2014,110.0,490.0,362.0,197.0,80.0,0.3
Amreli,Kerala,8.2,1850.0,510.0,54.0,0.0,0.35,22.0,622.0,1240.0,2014,36.0,200.0,249.0,346.0,44.0,2.8
Amreli,Morjhar,8.2,938.0,180.0,54.0,0.0,0.1,27.0,220.0,628.0,2014,10.0,240.0,156.0,105.0,52.0,0.7
Amreli,Bherai,8.0,3483.0,730.0,63.0,0.0,0.6,92.0,891.0,2334.0,2014,6.0,500.0,724.0,615.0,48.0,20.6
Amreli,Jafrabad,7.5,2854.0,550.0,80.0,0.0,0.85,58.0,671.0,1912.0,2014,29.0,440.0,582.0,437.0,80.0,101.0
Amreli,Nageshri,7.9,920.0,250.0,77.0,0.0,0.3,54.0,305.0,616.0,2014,23.0,340.0,121.0,84.0,48.0,3.9
Amreli,Bhavardi1,8.2,981.0,300.0,32.0,0.0,0.25,46.0,366.0,657.0,2014,52.0,340.0,92.0,77.0,60.0,2.9
Amreli,Ingorala,8.1,700.0,290.0,7.0,0.0,0.25,34.0,354.0,469.0,2014,35.0,280.0,36.0,45.0,56.0,0.2
Amreli,Khamba,8.2,917.0,370.0,28.0,0.0,0.19,44.0,451.0,614.0,2014,35.0,310.0,50.0,87.0,52.0,0.2
Amreli,Trakuda,7.0,1390.0,360.0,35.0,0.0,0.1,63.0,439.0,931.0,2014,135.0,570.0,170.0,82.0,124.0,1.9
Amreli,Badhda,8.0,1446.0,260.0,71.0,0.0,0.1,80.0,317.0,969.0,2014,155.0,520.0,192.0,98.0,76.0,0.4
Amreli,Bhuva,7.7,12150.0,830.0,408.0,0.0,0.75,109.0,1013.0,8141.0,2014,300.0,1250.0,3408.0,2354.0,320.0,146.0
Amreli,Charkhadia1,8.0,2432.0,910.0,59.0,0.0,1.45,12.0,1110.0,1629.0,2014,38.0,100.0,163.0,524.0,20.0,8.1
Amreli,Goradka,7.7,2216.0,220.0,124.0,0.0,0.08,105.0,268.0,1485.0,2014,330.0,900.0,341.0,93.0,188.0,0.5
Amreli,Piyava,8.2,1411.0,500.0,45.0,0.0,0.4,34.0,610.0,945.0,2014,39.0,200.0,121.0,254.0,24.0,0.3
Amreli,Kunkavav,8.0,2004.0,200.0,98.0,0.0,0.35,73.0,244.0,1343.0,2014,110.0,570.0,426.0,198.0,108.0,0.7
Amreli,Chavand,8.2,580.0,280.0,26.0,0.0,0.35,24.0,342.0,389.0,2014,5.0,220.0,36.0,66.0,48.0,0.3
Amreli,Lathi,7.9,1398.0,370.0,19.0,0.0,0.5,41.0,451.0,937.0,2014,17.0,300.0,213.0,188.0,52.0,0.0
Amreli,Luvariya,8.2,1307.0,560.0,57.0,0.0,2.2,7.0,683.0,876.0,2014,20.0,90.0,92.0,314.0,24.0,0.0
Amreli,Tajpur,7.9,2005.0,250.0,146.0,0.0,0.48,51.0,305.0,1343.0,2014,260.0,600.0,277.0,188.0,156.0,1.1
Amreli,Punjapadar,8.2,787.0,300.0,27.0,0.0,1.7,2.0,366.0,527.0,2014,8.0,40.0,57.0,175.0,12.0,2.7
Amreli,Mandal,7.9,2210.0,270.0,266.0,0.0,0.6,78.0,329.0,1481.0,2014,190.0,560.0,312.0,270.0,96.0,4.3
Amreli,Victor,8.2,1703.0,490.0,53.0,0.0,1.9,15.0,598.0,1141.0,2014,3.0,100.0,234.0,362.0,16.0,12.9
Amreli,Charnara,7.7,3936.0,710.0,172.0,0.0,1.5,29.0,866.0,2637.0,2014,6.0,220.0,880.0,890.0,40.0,11.9
Amreli,Fifad,7.8,6862.0,939.0,245.0,0.0,0.55,146.0,1145.0,4598.0,2014,32.0,820.0,1576.0,1220.0,88.0,18.2
Amreli,Hipa vadali,8.1,2592.0,1140.0,85.0,0.0,1.3,22.0,1391.0,1737.0,2014,68.0,140.0,57.0,565.0,20.0,0.2
Amreli,Kadiyali,7.4,3773.0,520.0,41.0,0.0,2.05,49.0,634.0,2528.0,2014,14.0,640.0,895.0,560.0,176.0,11.9
Amreli,Tajpur,7.6,2200.0,520.0,50.0,0.0,1.4,5.0,634.0,1474.0,2014,95.0,100.0,341.0,478.0,32.0,0.6
Anand,Anand,7.6,1253.0,490.0,17.0,0.0,0.3,70.0,598.0,840.0,2014,18.0,360.0,99.0,140.0,28.0,2.5
Anand,Anklav2,8.12,1100.0,420.0,14.0,0.0,0.9,53.0,512.0,737.0,2014,36.0,290.0,78.0,132.0,28.0,1.8
Anand,Navapura,8.06,1400.0,510.0,14.0,0.0,0.48,72.0,622.0,938.0,2014,40.0,470.0,106.0,110.0,68.0,5.5
Anand,Ras,7.5,1743.0,690.0,5.0,0.0,2.0,19.0,842.0,1168.0,2014,20.0,160.0,227.0,400.0,32.0,5.7
Anand,Kansari1,8.1,4278.0,480.0,242.0,0.0,0.6,96.0,586.0,2866.0,2014,24.0,650.0,993.0,700.0,100.0,4.0
Anand,Laxmipura,8.0,3367.0,650.0,62.0,0.0,1.1,48.0,793.0,2256.0,2014,30.0,450.0,709.0,600.0,100.0,2.1
Anand,Ghora,7.92,1780.0,440.0,18.0,0.0,0.67,41.0,537.0,1193.0,2014,115.0,380.0,241.0,238.0,84.0,13.0
Anand,Adas,8.1,970.0,350.0,9.0,0.0,0.43,82.0,427.0,650.0,2014,39.0,460.0,78.0,20.0,48.0,2.4
Anand,Dharmaj,7.76,2450.0,790.0,32.0,0.0,0.22,50.0,964.0,1642.0,2014,48.0,290.0,276.0,445.0,32.0,1.0
Anand,Tol,7.6,877.0,360.0,16.0,0.0,0.3,22.0,439.0,588.0,2014,5.0,260.0,50.0,86.0,68.0,7.2
Anand,Utiyapara,7.7,680.0,320.0,6.0,0.0,0.15,29.0,390.0,456.0,2014,2.0,340.0,42.0,22.0,88.0,1.1
Banaskantha,Amirgadh,7.9,3942.0,422.0,187.0,0.0,0.6,216.0,515.0,2641.0,2014,100.0,1400.0,993.0,330.0,200.0,3.7
Banaskantha,Iqbalgarh,8.2,680.0,230.0,20.0,0.0,0.25,38.0,281.0,456.0,2014,25.0,290.0,64.0,34.0,52.0,0.9
Banaskantha,Kidotar,7.98,1661.0,570.0,52.0,0.0,1.0,70.0,695.0,1113.0,2014,36.0,510.0,149.0,165.0,88.0,9.0
Banaskantha,Ganapipli,8.2,838.0,270.0,14.0,0.0,2.6,34.0,329.0,561.0,2014,36.0,270.0,85.0,79.0,52.0,1.2
Banaskantha,Mohabbat gadh,7.8,1500.0,200.0,15.0,0.0,1.15,31.0,244.0,1005.0,2014,75.0,570.0,347.0,94.0,176.0,3.2
Banaskantha,Ratanpur2,8.0,960.0,180.0,37.0,0.0,0.5,12.0,220.0,643.0,2014,85.0,350.0,142.0,65.0,120.0,2.6
