SN,District,Location pH EC TDS CO3 HCO3 Cl NO3 SO4 F Alk Ca Mg TH Na K,Fe SAR
1,Ahmedabad,Barvala 7.69 4781 3203 0 1342 780 17 270 3.25 1100 40 48 300 1020 0.4,25.60
2,Ahmedabad,Dhandhuka1 7.56 790 529 0 354 43 12 36 2.20 290 24 10 100 140 17.2,6.09
3,Ahmedabad,Gamph 7.90 2550 1709 0 781 461 16 10 0.25 640 28 72 370 416 37.0,9.40
4,Ahmedabad,Tagadi1 7.80 1492 1000 0 439 191 17 15 1.75 360 32 31 210 210 5.2,6.30
5,Ahmedabad,Dalod 7.73 14520 9728 0 1232 4361 45 439 3.10 1010 180 216 1350 2940 33.0,0.40 34.79
6,Ahmedabad,Mandal2 8.06 3581 2399 0 573 922 10 18 0.54 470 140 96 750 490 6.9,0.10 7.78
7,Ahmedabad,Kundali 7.42 875 586 0 378 85 24 5 0.45 310 36 36 240 100 0.4,2.81
8,Ahmedabad,Rajpada 8.20 2884 1932 0 537 567 250 91 0.43 440 200 168 1200 160 4.5,2.01
9,Ahmedabad,Endla 7.92 698 468 0 317 35 2 37 0.50 260 28 38 230 56 9.5,1.61
10,Ahmedabad,Kumarkhan 8.10 9840 6593 0 1000 2730 46 628 2.40 820 120 216 1200 1940 25.0,24.35
11,Ahmedabad,Viramgam2 7.59 5050 3384 0 512 1383 4 198 0.80 420 120 84 650 900 9.5,15.35
12,Amreli,Govadka 7.90 1872 1254 0 268 419 26 81 0.15 220 68 80 500 195 11.6,3.79
13,Amreli,Vankiya 8.20 1150 771 0 415 92 145 2 0.20 340 68 56 400 88 0.3,1.91
14,Amreli,Untvad 8.00 995 667 0 305 71 170 2 0.26 250 92 34 370 56 0.2,1.27
15,Amreli,Bagasara 7.90 2960 1983 0 439 639 200 72 0.45 360 120 161 960 253 0.0,3.55
16,Amreli,Vaghania juna 8.20 1324 887 0 598 114 18 31 0.90 490 28 27 180 240 6.7,0.00 7.78
17,Amreli,Chalala 8.20 620 415 0 268 71 3 12 0.10 220 52 24 230 49 2.3,1.40
18,Amreli,Dharangani 7.80 1790 1199 0 329 362 110 41 0.20 270 80 71 490 197 0.3,3.87
19,Amreli,Kerala 8.20 1850 1240 0 622 249 36 54 0.35 510 44 22 200 346 2.8,10.64
20,Amreli,Morjhar 8.20 938 628 0 220 156 10 54 0.10 180 52 27 240 105 0.7,2.95
21,Amreli,Bherai 8.00 3483 2334 0 891 724 6 63 0.60 730 48 92 500 615 20.6,0.00 11.96
22,Amreli,Jafrabad 7.50 2854 1912 0 671 582 29 80 0.85 550 80 58 440 437 101.0,0.00 9.06
23,Amreli,Nageshri 7.90 920 616 0 305 121 23 77 0.30 250 48 54 340 84 3.9,0.00 1.98
24,Amreli,Bhavardi1 8.20 981 657 0 366 92 52 32 0.25 300 60 46 340 77 2.9,0.00 1.82
25,Amreli,Ingorala 8.10 700 469 0 354 36 35 7 0.25 290 56 34 280 45 0.2,1.17
26,Amreli,Khamba 8.20 917 614 0 451 50 35 28 0.19 370 52 44 310 87 0.2,2.15
27,Amreli,Trakuda 7.00 1390 931 0 439 170 135 35 0.10 360 124 63 570 82 1.9,1.49
28,Amreli,Badhda 8.00 1446 969 0 317 192 155 71 0.10 260 76 80 520 98 0.4,1.87
29,Amreli,Bhuva 7.70 12150 8141 0 1013 3408 300 408 0.75 830 320 109 1250 2354 146.0,28.95
