Unnamed: 0,Unnamed: 1,Unnamed: 2,8.1,Unnamed: 3,Unnamed: 4,2286,Unnamed: 5,Unnamed: 6,488,Unnamed: 7,Unnamed: 8,447,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,0.7,Unnamed: 14,Unnamed: 15,32,Unnamed: 16,Unnamed: 17,70,Unnamed: 18,Unnamed: 19,370,Unnamed: 20,Unnamed: 21,344,Unnamed: 22,Unnamed: 23,20.,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
328,Mahesana,Tarabh,,8.1,,,512,,343,0,,244,,,43,,,,,11.0,,0.3,,200.0,,56.0,,,17.0,,,210.0,,,30.0,,,7.0,,,0.9
329,Mahesana,Unjha,7.68,3256.0,2182.0,0.0,610,496.0,150,322,1.0,500,120.0,108.0,750,422.0,94.0,0.0,6.7,,,,,,,,,,,,,,,,,,,,,,
330,Narmada,Kanbi pitha,,8.1,,,603,,404,0,,305,,,35,,,,,17.0,,0.2,,250.0,,56.0,,,31.0,,,270.0,,,23.0,,,0.0,,,0.61
331,Narmada,Garudeshwar,,7.9,,,1080,,724,0,,476,,,64,,,46.0,,28.0,,0.4,,390.0,,88.0,,,53.0,,,440.0,,,50.0,,,3.0,,,1.04
332,Narmada,Hirapura,,8.0,,,900,,603,0,,427,,,50,,,,,40.0,,0.7,,350.0,,96.0,,,31.0,,,360.0,,,49.0,,,0.0,,0.0,1.12
333,Narmada,Khota amba,7.9,673.0,451.0,0.0,354,21.0,0,36,0.4,290,76.0,31.0,320,18.0,0.0,,0.44,,,,,,,,,,,,,,,,,,,,,,
334,Narmada,Ringani,,8.2,,,552,,370,0,,256,,,28,,,,,39.0,,0.3,,210.0,,48.0,,,34.0,,,260.0,,,16.0,,,0.0,,,0.43
335,Narmada,Sunderpura,7.2,1253.0,840.0,0.0,610,50.0,70,10,0.87,500,108.0,50.0,480,42.0,57.0,,0.83,,,,,,,,,,,,,,,,,,,,,,
336,Narmada,Amayar,,8.2,,,456,,306,0,,232,,,21,,,,,15.0,,0.3,,190.0,,40.0,,,22.0,,,190.0,,,22.0,,,0.0,,,0.69
337,Narmada,Selemba,,8.1,,,688,,461,0,,281,,,43,,,24.0,,38.0,,0.3,,230.0,,64.0,,,36.0,,,310.0,,,19.0,,,0.0,,,0.47
338,Narmada,Namaria,,7.8,,,4700,,3149,0,,525,,,908,,,720.0,,133.0,,0.8,,430.0,,60.0,,,310.0,,,1690.0,,,349.0,,,1.0,,,3.69
339,Narmada,Alma wadi,7.7,1700.0,1139.0,0.0,183,255.0,230,180,0.19,150,164.0,96.0,810,36.0,1.1,2.0,0.55,,,,,,,,,,,,,,,,,,,,,,
340,Narmada,Besana,8.06,390.0,261.0,0.0,207,14.0,2,31,0.2,170,44.0,22.0,200,11.0,0.2,0.45,0.34,,,,,,,,,,,,,,,,,,,,,,
341,Narmada,Chuli,8.06,626.0,419.0,0.0,256,50.0,35,36,0.15,210,84.0,22.0,300,22.0,0.3,1.0,0.55,,,,,,,,,,,,,,,,,,,,,,
