Bharuch,Mungaj,8.20,461,309,0,293,28,5,14,0.10,240,40,22,190,50,0.1
Bharuch,Nirnavi,8.24,465,312,0.0,305,28,6,25,0.35,250,44,17,180,65,10.0
Bharuch,Panoli,7.81,6044,4049,0.0,573,1775,44,96,1.1,470,18,28,1600,710,3.2
Bharuch,Raymal,8.37,804,539,36.0,195,149,8,20,0.4,220,40,24,200,120,7.9
Bharuch,Roja tankaria,8.30,965,647,0.0,427,128,5,53,0.0,350,76,29,310,130,30.6
Bharuch,Sajod,8.06,726,486,0.0,415,78,5,31,0.2,340,76,29,310,82,21.2
Bharuch,Sajod,8.15,1576,1056,0.0,903,114,5,9,1.55,740,44,92,490,198,4.3
Bharuch,Sindhav,8.17,1370,918,0.0,500,185,3,24,0.4,410,52,41,300,185,30.5
Bharuch,Tankari,8.07,2746,1840,0.0,866,390,6,146,0.85,710,44,88,470,440,53.5
Bharuch,Timbroli,8.04,483,324,0.0,305,35,7,42,0.45,250,72,15,240,51,2.0
Bharuch,Utraj,8.13,892,598,0.0,464,106,4,17,0.8,380,24,32,190,168,2.3
Bharuch,Valia,7.97,3574,2395,0.0,305,887,9,67,1.4,250,160,85,750,390,1.8
Bhavnagar,Ayodhyapuram,8.29,5724,3835,0.0,1037,1312,11,224,3.0,850,120,120,800,1000,1.0
Bhavnagar,Bhavnagar City 1,8.24,1064,713,0.0,488,106,2,27,0.64,400,40,36,250,153,0.7
Bhavnagar,Bhudel,8.4,2320,1554,108.0,500,354,76,54,0.87,590,120,84,650,260,8.2
Bhavnagar,Bhumbhali,8.12,5451,3652,0.0,659,1312,6,351,0.87,540,140,204,1200,730,20.0
Bhavnagar,Bhutia,7.88,1892,1268,0.0,244,475,13,63,0.67,200,152,53,600,164,1.5
Bhavnagar,Bora,8.45,1696,1136,60.0,695,92,70,28,1.5,670,28,22,160,336,2.3
Bhavnagar,Dhasa,8.29,800,536,0.0,342,78,12,19,0.2,280,72,36,330,42,9.5
