Well No.,District,Taluka,Location,Date,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
W213636073454801,Narmada,Sagbara,Salemba 1,May 2018,7.75,830,556.1,0,183,92,46,92,0.77,150,96,32,370,21,0.3,0.47
W215050073321001,Narmada,NANDOD,Sunderpura,May 2018,8.33,630,422.1,42,49,78,16,75,0.55,110,60,34,290,10,0.6,0.26
W212917073525901,Narmada,Sagbara,Umaran,May 2018,7.97,622,416.74,0,195,28,12,92,0.35,160,84,19,290,7,0.1,0.18
W205145072540001,Navsari,JALALPORE,Abrama,May 2018,7.88,3489,2337.63,0,256,951,4,135,0.45,210,120,126,820,411,12.8,6.24
W204952073200401,Navsari,VANSDA,Chandav,May 2018,7.47,874,585.58,0,256,99,16,113,0.4,210,88,36,370,52,1.1,1.18
W205930072531001,Navsari,JALALPORE,Chinam,May 2018,8.19,2676,1792.92,0,512,469,21,130,0.37,420,64,58,400,240,310.0,5.22
W205330072483001,Navsari,JALALPORE,Dandi,May 2018,7.7,1332,892.44,0,366,142,130,4,0.22,300,72,36,330,130,47.1,3.11
W204943073032701,Navsari,GANDEVI,Duvada,May 2018,8.44,803,538.01,24,171,71,6,130,1.0,180,28,49,270,71,1.6,1.88
W204330073090001,Navsari,CHIKHLI,Kaliyari,May 2018,7.777,553,370.51,0,244,43,5,69,0.38,200,64,29,280,27,1.6,0.7
W203800073054501,Navsari,CHIKHLI,Khergam,May 2018,7.45,660,442.2,0,207,71,8,100,0.23,170,72,29,300,38,0.2,0.95
W204027073140001,Navsari,CHIKHLI,Manav Khadak,May 2018,7.72,505,338.35,0,171,50,5,92,0.85,140,52,22,220,43,0.5,1.26
W204818073160001,Navsari,VANSDA,Moti Valzar,May 2018,7.6,757,507.19,0,207,92,10,45,0.83,170,72,17,250,50,0.4,1.37
W204818073160001,Navsari,NAVSARI,Navsari 1,May 2018,7.33,6900,4623.0,0,293,1882,16,320,0.58,240,340,280,2000,587,7.4,5.71
W205000072503001,Navsari,JALALPORE,Onjal,May 2018,7.67,1449,970.83,0,183,298,7,317,0.5,150,136,22,430,222,5.2,4.65
W204715072571501,Navsari,GANDEVI,Sari_khurd,May 2018,8.3,1322,885.74,0,293,220,0,67,0.48,240,48,51,330,136,25.2,3.26
W210030072444501,Navsari,JALALPORE,Ubhrat,May 2018,6.97,1824,1222.08,0,390,391,60,8,1.03,320,68,12,220,330,24.2,9.67
W224940073364501,Panchmahal,GODHRA,Chhabanpur,May 2018,7.7,745,499.15,0,207,78,50,13,1.01,170,56,12,190,68,1.4,2.14
W224531073302401,Panchmahal,Kalol,Dhanol,May 2018,8.8,1482,992.94,84,122,191,15,158,1.69,240,16,26,150,250,14.5,8.87
W230900073463001,Panchmahal,SANTRAMPUR,Gadhar(Agricultural),May 2018,7.63,783,524.61,0,171,85,50,18,0.8,140,44,19,190,61,1.2,1.92
W224734073362401,Panchmahal,GODHRA,Godhra UR_1(Temple Campus),May 2018,7.66,1183,792.61,0,195,156,47,153,1.32,160,68,34,310,126,0.9,3.11
W224609073352801,Panchmahal,GODHRA,Godhra UR_2(School Camp),May 2018,8.19,2521,1689.07,0,134,638,7,237,1.69,110,140,132,900,174,2.5,2.52
