S.N.,District,Site Name,Latitude,Longitude,pH,EC,TDS,TH,CO3,HCO3,Cl,S04,NO3,F,Alkalinity,Ca,Mg,Na,K,SiO2,SAR
1.0,Ahmedabad,Dalod,23.36667,71.96667,7.9,12860,8616,1290.0,0.0,1220.0,3834.0,625.0,5.6,4.2,1000.0,136.0,231.0,2400.0,55.0,33.0,29.05
2.0,Ahmedabad,Dhandhuka1,22.375,71.98611,8.37,12310,8248,1300.0,192.0,537.0,3195.0,755.0,46.0,5.0,760.0,96.0,258.0,2140.0,28.0,51.0,25.81
3.0,Ahmedabad,Endla,23.27222,72.05833,7.67,713,478,260.0,0.0,342.0,43.0,42.0,5.0,0.54,280.0,52.0,32.0,50.0,10.0,22.0,1.35
4.0,Ahmedabad,Gamph,22.35833,72.16667,7.87,430,288,140.0,0.0,195.0,36.0,16.0,0.7,0.67,160.0,28.0,17.0,42.0,3.2,34.0,1.54
5.0,Ahmedabad,Ghuma,23.03333,72.44583,7.34,4252,2849,750.0,0.0,781.0,888.0,280.0,0.5,0.67,640.0,92.0,126.0,485.0,225.0,34.0,7.7
6.0,Ahmedabad,Kumarkhan,22.9,72.01667,7.51,9154,6133,760.0,0.0,695.0,2485.0,410.0,14.0,2.1,570.0,100.0,124.0,1720.0,42.0,45.0,27.13
7.0,Ahmedabad,Mandal2,23.275,71.91667,8.71,3827,2564,180.0,60.0,195.0,973.0,226.0,1.2,1.65,260.0,36.0,22.0,750.0,3.1,18.0,24.31
8.0,Ahmedabad,Tagadi1,22.29583,71.94722,7.65,1642,1100,320.0,0.0,415.0,241.0,185.0,21.0,1.92,340.0,64.0,39.0,248.0,4.8,26.0,6.02
9.0,Ahmedabad,Ughraj1,23.36667,72.1,7.65,610,409,180.0,0.0,256.0,57.0,45.0,0.3,1.2,210.0,36.0,22.0,70.0,1.6,17.0,2.27
10.0,Ahmedabad,Viramgam2,23.14167,72.03333,8.13,6681,4476,410.0,0.0,781.0,1775.0,370.0,1.7,1.21,640.0,44.0,73.0,1400.0,9.3,26.0,30.06
11.0,Ahmedabad,Koth,22.65505,72.2878,7.87,611,409,200.0,0.0,207.0,57.0,46.0,21.0,0.48,170.0,64.0,10.0,55.0,0.2,9.0,1.69
12.0,Ahmedabad,Vagad,22.2971,71.94673,7.3,7736,5183,1460.0,0.0,891.0,1562.0,1075.0,1.7,2.0,730.0,248.0,204.0,1110.0,31.0,76.0,12.63
13.0,Ahmedabad,Vinchhiya,22.92524,72.2912,7.83,2632,1763,360.0,0.0,744.0,341.0,259.0,0.0,1.31,610.0,64.0,49.0,450.0,4.0,21.0,10.31
14.0,Ahmedabad,Viramgam,23.13639,72.03861,8.16,6724,4505,370.0,0.0,757.0,1773.0,389.0,2.8,1.3,620.0,44.0,63.0,1432.0,11.0,25.0,32.37
15.0,Ahmedabad,Dalod,23.35278,71.9675,8.01,12980,8697,1271.0,0.0,1196.0,3772.0,638.0,12.0,4.1,981.0,144.0,221.0,2480.0,53.0,31.0,30.26
16.0,Ahmedabad,Endla,23.28028,72.04861,7.87,688,461,250.0,0.0,329.0,43.0,36.0,3.0,0.5,270.0,48.0,32.0,50.0,11.0,20.0,1.37
17.0,Amreli,Ankadia mota,21.64529,71.10612,8.14,1300,871,360.0,0.0,293.0,199.0,88.0,88.8,0.85,240.0,64.0,49.0,155.0,1.61,48.0,3.56
18.0,Amreli,Bagasara,21.47675,70.96082,8.18,2358,1580,490.0,0.0,171.0,454.0,195.0,161.7,0.66,140.0,108.0,54.0,280.0,1.77,47.0,5.5
19.0,Amreli,Bherai,20.97403,71.48683,8.2,2140,1434,360.0,0.0,244.0,511.0,80.0,11.44,0.72,200.0,56.0,54.0,300.0,29.0,30.0,6.87
20.0,Amreli,Bhuva,21.42771,71.35965,8.39,8258,5533,530.0,192.0,488.0,1995.0,514.0,171.25,1.04,720.0,32.0,109.0,1580.0,72.0,34.0,29.84
21.0,Amreli,Chavand,21.81105,71.40574,8.12,670,449,210.0,0.0,317.0,57.0,20.0,11.0,0.9,260.0,40.0,27.0,71.0,0.9,46.0,2.12
22.0,Amreli,Dharai (Balmukund),21.80774,71.14809,8.33,925,620,310.0,36.0,183.0,135.0,55.0,31.16,0.75,210.0,68.0,34.0,84.0,0.85,44.0,2.07
23.0,Amreli,Goradka,21.22802,71.40808,8.01,1190,797,460.0,0.0,195.0,178.0,94.0,116.85,0.66,160.0,88.0,58.0,76.0,0.63,60.0,1.55
24.0,Amreli,Ingorala,21.22684,71.20257,8.26,775,519,260.0,0.0,281.0,64.0,76.0,29.21,0.64,230.0,36.0,41.0,75.0,0.69,45.0,2.02
25.0,Amreli,Kadiyali,20.86175,71.30227,7.79,4710,3156,750.0,0.0,183.0,1377.0,158.0,8.44,1.09,150.0,164.0,83.0,660.0,10.0,22.0,10.48
26.0,Amreli,Khamba,21.14645,71.23811,8.3,668,448,210.0,48.0,220.0,50.0,23.0,10.21,0.75,260.0,40.0,27.0,70.0,0.86,39.0,2.1
27.0,Amreli,Kunkavav,21.6555,70.98048,7.97,1550,1039,450.0,0.0,329.0,270.0,120.0,77.6,0.82,270.0,72.0,66.0,166.0,1.19,68.0,3.41
28.0,Amreli,Lathi,21.72698,71.38298,8.27,1535,1028,280.0,0.0,268.0,298.0,67.0,24.46,0.92,220.0,32.0,49.0,204.0,2.49,55.0,5.31
29.0,Amreli,Mandal,21.09944,71.57929,7.89,4648,3114,1310.0,0.0,195.0,1179.0,190.0,250.0,0.89,160.0,204.0,195.0,400.0,6.45,87.0,4.81
30.0,Amreli,Morjhar,21.37577,71.11398,8.35,895,600,320.0,48.0,171.0,149.0,31.0,30.4,0.63,220.0,60.0,41.0,73.0,1.0,48.0,1.77
31.0,Amreli,Piyava,21.37955,71.46023,8.47,1350,905,260,72,366,156,26,76.00,0.82,420,28,46,206,0.81,47,5.55
