361,Navsari,Panikhadak,7.35,672,450,0,281,85,5,9,0.33,230,88,24,320,21,3.0,0.00,0.51,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
362,Panchmahals,Ranipura,,8.1,,,2294,,1537,0,,415,,,412,,,65.0,,198.0,,1.4,,340.0,,96.0,,,17.0,,,720.0,,,217.0,,,3.0,,,3.52
363,Panchmahals,Godhra1,7.9,1166.0,781.0,0.0,305,121.0,44,36,1.08,250,52.0,20.0,210,133.0,0.7,0.11,3.99,,,,,,,,,,,,,,,,,,,,,,
364,Panchmahals,Tuwa,,8.1,,,1124,,753,0,,305,,,142,,,35.0,,80.0,,0.5,,250.0,,84.0,,,20.0,,,290.0,,,127.0,,,14.0,,,3.24
365,Panchmahals,Shivrajpur,,8.2,,,998,,669,0,,195,,,199,,,,,84.0,,0.1,,160.0,,96.0,,,24.0,,,340.0,,,91.0,,,1.0,,,2.15
366,Panchmahals,Tarkanda,,8.0,,,988,,662,0,,244,,,135,,,11.0,,115.0,,0.4,,200.0,,96.0,,,24.0,,,340.0,,,84.0,,,2.0,,,1.98
367,Panchmahals,Timbi2,,8.1,,,982,,658,0,,342,,,71,,,39.0,,152.0,,0.3,,280.0,,96.0,,,34.0,,,370.0,,,93.0,,,0.0,,,2.1
368,Panchmahals,Kothamba,,8.0,,,1890,,1266,0,,342,,,355,,,55.0,,72.0,,0.6,,280.0,,40.0,,,98.0,,,500.0,,,188.0,,,2.0,,,3.66
369,Panchmahals,Limbadia peti,,7.9,,,820,,549,0,,451,,,57,,,,,71.0,,1.1,,370.0,,16.0,,,44.0,,,220.0,,,144.0,,,1.0,,,4.22
370,Panchmahals,Malekpur1,,8.2,,,638,,427,0,,281,,,64,,,11.0,,38.0,,0.7,,230.0,,24.0,,,32.0,,,190.0,,,84.0,,,3.0,,,2.65
371,Panchmahals,Santroad,,8.0,,,668,,448,0,,305,,,64,,,19.0,,44.0,,0.8,,250.0,,36.0,,,27.0,,,200.0,,,94.0,,,1.0,,,2.89
372,Panchmahals,Gadhar,,7.8,,,842,,564,0,,342,,,78,,,26.0,,39.0,,0.8,,280.0,,56.0,,,29.0,,,260.0,,,90.0,,,3.0,,,2.43
373,Panchmahals,Santrampur1,8.1,957.0,641.0,0.0,439,99.0,7,30,0.85,360,40.0,27.0,210,152.0,1.6,,4.56,,,,,,,,,,,,,,,,,,,,,,
374,Panchmahals,Shehra,,8.0,,,1729,,1158,0,,781,,,156,,,32.0,,35.0,,0.5,,640.0,,28.0,,,41.0,,,240.0,,,316.0,,,97.0,,,8.87
375,Panchmahals,Chhabanpur,8.0,846.0,567.0,0.0,232,121.0,48,48,0.55,190,48.0,22.0,210,112.0,0.9,0.09,3.36,,,,,,,,,,,,,,,,,,,,,,
376,Panchmahals,Dhanol nani,7.8,3014.0,2019.0,0.0,659,298.0,10,74,2.7,540,20.0,20.0,130,427.0,5.4,,16.28,,,,,,,,,,,,,,,,,,,,,,
