427,Porbander,Shepa,8.00,1250,838,0,305,185,44,46,0.68,250,84,36,360,110,17.2,Unnamed: 0,2.52,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
428,Porbander,Simar,8.0,1705.0,1142.0,0.0,281,383.0,31,45,0.2,230,96.0,27.0,350,230.0,1.9,,5.35,,,,,,,,,,,,,,,,,,,,,,
429,Porbander,Tukra,7.5,2194.0,1470.0,0.0,268,454.0,7,99,0.23,220,48.0,34.0,260,330.0,79.9,,8.9,,,,,,,,,,,,,,,,,,,,,,
430,Porbander,Visavada,7.7,2965.0,1987.0,0.0,281,696.0,13,182,1.0,230,104.0,49.0,460,445.0,40.4,,9.02,,,,,,,,,,,,,,,,,,,,,,
431,Rajkot,Bhada jodiya,,8.1,,,1390,,931,0,,512,,,156,,,29.0,,41.0,,0.7,,420.0,,32.0,,,24.0,,,180.0,,,244.0,,,1.0,,,7.91
432,Rajkot,Dhoraji,8.0,1336.0,895.0,0.0,232,249.0,42,79,0.0,190,96.0,66.0,510,70.0,2.9,,1.35,,,,,,,,,,,,,,,,,,,,,,
433,Rajkot,Patanvav,,8.2,,,694,,465,0,,342,,,71,,,,,6.0,,0.3,,280.0,,88.0,,,12.0,,,270.0,,,57.0,,,17.0,,,1.51
434,Rajkot,Chordi,,7.8,,,980,,657,0,,134,,,149,,,92.0,,52.0,,0.1,,110.0,,68.0,,,29.0,,,290.0,,,74.0,,,0.0,,,1.89
435,Rajkot,Dadia,,8.1,,,651,,436,0,,244,,,50,,,58.0,,14.0,,0.2,,200.0,,60.0,,,22.0,,,240.0,,,43.0,,,0.0,,0.0,1.21
436,Rajkot,Jamwali,,7.9,,,513,,344,0,,171,,,78,,,,,17.0,,0.0,,140.0,,40.0,,,17.0,,,170.0,,,46.0,,,2.0,,,1.53
437,Rajkot,Kalithad,,7.9,,,354,,237,0,,159,,,36,,,,,25.0,,0.5,,130.0,,28.0,,,24.0,,,170.0,,,20.0,,,2.0,,,0.67
438,Rajkot,Mota dadwa,,7.9,,,2034,,1363,0,,220,,,398,,,96.0,,160.0,,0.3,,180.0,,32.0,,,78.0,,,650.0,,,158.0,,,3.0,,,2.69
439,Rajkot,Ribda,,8.2,,,731,,490,0,,342,,,64,,,16.0,,37.0,,0.0,,280.0,,60.0,,,32.0,,,280.0,,,66.0,,,1.0,,,1.71
440,Rajkot,Jasapur,,8.2,,,1060,,710,0,,183,,,142,,,88.0,,63.0,,0.0,,150.0,,64.0,,,39.0,,,320.0,,,78.0,,,0.0,,,1.9
441,Rajkot,Jasdan2,,8.1,,,1209,,810,0,,244,,,199,,,19.0,,85.0,,0.1,,200.0,,20.0,,,,,,330.0,,,119.0,,,2.0,,,2.85
