S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
202,Junagadh,Talala,Amervel Nes,8.11,571,383,180,28,27,50,1.9,0,244,57,0,7,0.0,200,0.213
203,Junagadh,JUNAGADH,Anandpur,7.76,2238,1499,830,160,103,100,0.0,0,159,482,80,156,0.7,130,0.0
204,Junagadh,MANGROL,Antroli,7.98,11020,7383,2800,580,324,1190,37.0,0,220,3510,26,163,0.48,180,0.0
205,Junagadh,MANGROL,Bamanwara,7.54,5200,3484,2050,360,276,230,6.6,0,61,1666,48,77,0.35,50,0.0
206,Junagadh,MANAVADAR,Bantva,8.27,2825,1893,900,220,84,230,2.1,0,378,745,28,2,0.6,310,0.0
207,Junagadh,Talala,Bhim Deval,8.1,898,602,280,60,32,94,4.7,0,232,129,35,77,0.36,190,0.113
208,Junagadh,JUNAGADH,Bilkha,8.29,1963,1315,800,104,130,98,2.2,0,500,277,66,147,0.48,410,0.0
209,Junagadh,MALIA,Budhecha,7.87,1231,825,400,68,55,100,3.7,0,110,213,66,160,1.0,90,0.0
210,Junagadh,JUNAGADH,Chokli,8.53,1300,871,350,40,60,131,0.6,48,73,163,96,175,0.74,140,0.0
211,Junagadh,MALIA,Chorwad,7.48,11310,7578,4100,1320,192,685,16.0,0,232,3297,31,636,0.45,190,0.065
212,Junagadh,UNA,Dhokadva,8.25,535,358,230,32,36,35,1.8,0,207,57,0,53,0.0,170,0.0
213,Junagadh,MALIA,Galodar,6.86,835,559,300,44,46,47,0.2,0,207,99,18,73,0.3,170,0.0
214,Junagadh,UNA,Girgadhada,8.05,625,419,200,44,22,45,0.8,0,220,50,33,19,0.05,180,0.1
215,Junagadh,MANGROL,Goraj1,8.16,1085,727,240,28,41,163,3.4,0,220,149,34,164,1.25,180,0.0
216,Junagadh,VERAVAL,Govindpura2,7.9,507,340,180,28,5,29,1.6,0,183,50,13,11,0.0,150,0.366
217,Junagadh,TALALA,Jambur[madhapar,7.97,692,464,250,32,41,59,1.2,0,293,85,8,10,0.0,240,0.087
218,Junagadh,UNA,Jamvala1,8.28,386,259,130,32,12,29,0.4,0,122,50,7,15,0.2,100,0.0
219,Junagadh,Una,Jargla Jargali,8.07,444,297,170,32,22,28,0.3,0,183,43,12,9,0.15,150,0.081
220,Junagadh,JUNAGADH,Junagadh1,8.05,1180,791,360,76,41,83,2.0,0,146,184,70,97,0.23,120,0.0
221,Junagadh,MALIA,Juthal,8.29,763,511,300,56,38,55,3.1,0,232,121,7,48,0.3,190,0.0
222,Junagadh,MANGROL,Kalej,7.54,4499,3014,2000,360,364,150,3.1,0,85,1276,47,378,0.82,70,0.0
223,Junagadh,MENDARDA,Kanedipur,7.96,594,398,210,52,19,40,0.1,0,232,57,11,15,0.41,190,0.0
224,Junagadh,Una,Kansari,8.28,1360,911,340,60,46,162,5.9,0,439,206,34,9,0.65,360,0.241
225,Junagadh,Una,Kesariyaji_1,7.88,1136,761,270,60,290,136,3.4,0,220,220,33,41,0.65,180,0.366
226,Junagadh,KESHOD,Kewarda,8.28,1960,1313,290,88,17,311,4.0,0,146,496,29,109,0.48,120,0.0
227,Junagadh,MALIA,Khambalia1,7.85,5026,3367,1100,260,108,610,20.0,0,73,1347,12,414,0.38,60,0.0
228,Junagadh,VANTHALI,Khokharda,8.16,1677,1124,510,88,70,141,1.1,0,134,319,60,194,0.3,110,0.0
229,Junagadh,MANGROL,Khorada1,8.04,2698,1808,700,180,60,297,31.0,0,439,567,6,163,0.48,360,0.0
230,Junagadh,VANTHALI,Khoras ahir,8.45,1235,827,300,32,53,160,1.2,72,171,149,11,157,1.0,260,0.0
231,Junagadh,KODINAR,Kodinar1,8.19,2629,1761,580,56,107,340,0.7,0,268,682,34,92,0.75,220,0.0
232,Junagadh,MALIA,Kukaswada,7.56,7866,5270,2350,740,120,700,2.4,0,61,2481,28,244,0.35,50,0.039
233,Junagadh,MANGROL,Manketara,7.78,1700,1139,430,100,43,174,3.0,0,122,305,47,223,0.76,100,0.0
234,Junagadh,MENDARDA,Mendarda1,8.13,1035,693,190,44,19,128,0.2,0,134,163,35,92,0.4,110,0.029
235,Junagadh,VERAVAL,Moraj,7.76,726,486,220,64,15,69,0.2,0,153,135,14,36,0.94,125,0.0
