Well No.,District,Taluka,Location,Date,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
W203845073473001,The dangs,The dangs,Dhumkal,May 2018,8.07,298.0,199.66,0.0,207.0,14.0,5.0,36.0,0.3,170.0,48.0,15.0,180.0,24.0,0.3,0.78
W204800073441501,The dangs,The dangs,Ghubita,May 2018,8.1,377.0,252.59,0.0,159.0,21.0,11.0,61.0,0.24,130.0,52.0,15.0,190.0,20.0,0.7,0.63
W203800073444501,The dangs,The dangs,Jakana,May 2018,8.1,509.0,341.03,0.0,159.0,21.0,50.0,94.0,0.17,130.0,64.0,19.0,240.0,27.0,0.9,0.76
W205515073345001,The dangs,The dangs,Kalibel,May 2018,7.99,1030.0,690.1,0.0,293.0,178.0,15.0,60.0,0.1,240.0,56.0,71.0,430.0,64.0,19.2,1.34
W205500073404501,The dangs,The dangs,Mahal,May 2018,8.07,380.0,254.6,0.0,195.0,21.0,0.0,83.0,0.2,160.0,56.0,19.0,220.0,26.0,1.2,0.76
W203600073444501,The dangs,The dangs,Malegaon,May 2018,8.2,422.0,282.74,0.0,110.0,57.0,11.0,58.0,0.3,90.0,24.0,32.0,190.0,24.0,0.5,0.76
W204815073364501,The dangs,The dangs,Nadak khadi,May 2018,8.09,367.0,245.89,0.0,146.0,21.0,14.0,78.0,0.45,120.0,60.0,5.0,170.0,34.0,0.5,1.13
W204200073350001,The dangs,The dangs,Nana pada,May 2018,8.23,337.0,225.79,0.0,146.0,14.0,0.0,84.0,0.3,120.0,40.0,19.0,180.0,22.0,0.7,0.71
W204310073332501,The dangs,The dangs,Sakarpatal,May 2018,8.1,321.0,215.07,0.0,122.0,28.0,15.0,35.0,0.2,100.0,36.0,15.0,150.0,18.0,0.2,0.64
W205200073370001,The dangs,The dangs,Sodmal,May 2018,8.1,308.0,206.36,0.0,122.0,21.0,13.0,74.0,0.37,100.0,36.0,17.0,160.0,27.0,0.2,0.93
W205520073345001,The dangs,The dangs,Subir,May 2018,8.2,365.0,244.55,0.0,98.0,43.0,15.0,58.0,0.15,80.0,40.0,15.0,160.0,25.0,0.8,0.86
W204100073433001,The dangs,The dangs,Umberpada,May 2018,8.07,350.0,234.5,0.0,98.0,21.0,13.0,106.0,0.3,80.0,32.0,24.0,180.0,24.0,4.0,0.78
W205242073310601,The dangs,The dangs,Vazat Amba,May 2018,8.03,399.0,267.33,0.0,207.0,28.0,16.0,44.0,0.24,170.0,48.0,22.0,210.0,27.0,0.7,0.81
W204550073301601,The dangs,The Dang,Waghai,May 2018,8.3,384.0,257.28,0.0,98.0,28.0,2.0,120.0,0.3,80.0,28.0,27.0,180.0,31.0,2.2,1.0
W221340073290001,Vadodara,DABHOI,Amreshwar,May 2018,7.7,1714.0,1148.38,0.0,354.0,362.0,14.0,48.0,0.66,290.0,84.0,44.0,390.0,210.0,11.4,4.62
W221200073540001,Vadodara,JETPUR PAVI,Bhindol,May 2018,Leaked,,,,,,,,,,,,,,,
W222200074123001,Vadodara,CHHOTA UDAIPUR,Ferkuva,May 2018,7.1,1220.0,817.4,0.0,500.0,128.0,6.0,25.0,1.46,410.0,68.0,49.0,370.0,110.0,0.3,2.49
W222200074043001,Vadodara,CHHOTA UDAIPUR,Ghamodi,May 2018,7.56,470.0,314.9,0.0,183.0,43.0,10.0,15.0,1.2,150.0,28.0,23.0,165.0,31.0,0.8,1.05
W223015073170001,Vadodara,SAVLI,Juna samalya,May 2018,7.78,1762.0,1180.54,0.0,403.0,241.0,47.0,170.0,1.39,330.0,60.0,63.0,410.0,201.0,33.5,4.32
W215845073563001,Vadodara,NASVADI,Kaprali,May 2018,7.82,733.0,491.11,0.0,256.0,43.0,62.0,45.0,0.86,210.0,100.0,24.0,350.0,9.0,0.2,0.21
W221736073115401,Vadodara,Vadodara City,Kevada Bag,May 2018,8.23,1285.0,860.95,0.0,415.0,113.0,66.0,40.0,0.97,340.0,32.0,34.0,220.0,168.0,8.1,4.92
W220830072543001,Vadodara,PADRA,Masor,May 2018,8.27,2394.0,1603.98,15.0,940.0,213.0,8.0,90.0,0.65,795.0,32.0,44.0,260.0,430.0,1.0,11.59
W221200074023001,Vadodara,KAVANT,Panwad,May 2018,7.83,870.0,582.9,0.0,220.0,121.0,17.0,65.0,0.64,180.0,76.0,34.0,330.0,42.0,9.3,1.01
W220330074010001,Vadodara,KAVANT,Saidivasana,May 2018,7.65,920.0,616.4,0.0,329.0,78.0,9.0,68.0,0.91,270.0,84.0,29.0,330.0,60.0,0.4,1.44
