31,Amreli,Goradka,,7.7,,,2216,,1485,0,,268,,,341,,,330.0,,124.0,,0.0,,220.0,,88.0,,,105.0,,,900.0,,,93.0,,,0.0,,,1.35
32,Amreli,Piyava,,8.2,,,1411,,945,0,,610,,,121,,,39.0,,45.0,,0.4,,500.0,,24.0,,,34.0,,,200.0,,,254.0,,,0.0,,0.0,7.81
33,Amreli,Kunkavav,,8.0,,,2004,,1343,0,,244,,,426,,,110.0,,98.0,,0.3,,200.0,,8.0,,,73.0,,,570.0,,,198.0,,,0.0,,,3.61
34,Amreli,Chavand,,8.2,,,580,,389,0,,342,,,36,,,,,26.0,,0.3,,280.0,,48.0,,,24.0,,,220.0,,,66.0,,,0.0,,,1.93
35,Amreli,Lathi,,7.9,,,1398,,937,0,,451,,,213,,,17.0,,19.0,,0.5,,370.0,,52.0,,,41.0,,,300.0,,,188.0,,,0.0,,,4.72
36,Amreli,Luvariya,,8.2,,,1307,,876,0,,683,,,92,,,20.0,,57.0,,2.2,,560.0,,24.0,,,,,,90.0,,,314.0,,,0.0,,0.55,14.39
37,Amreli,Tajpur,,7.9,,,2005,,1343,0,,305,,,277,,,260.0,,146.0,,0.4,,250.0,,56.0,,,51.0,,,600.0,,,188.0,,,1.0,,0.63,3.34
38,Amreli,Punjapadar,,8.2,,,787,,527,0,,366,,,57,,,,,27.0,,1.7,,300.0,,12.0,,,,,,40.0,,,175.0,,,2.0,,0.76,12.03
39,Amreli,Mandal,,7.9,,,2210,,1481,0,,329,,,312,,,190.0,,266.0,,0.6,,270.0,,96.0,,,78.0,,,560.0,,,270.0,,,4.0,,,4.96
40,Amreli,Victor,8.2,1703.0,1141.0,0.0,598,234.0,3,53,1.9,490,16.0,15.0,100,362.0,12.9,,15.74,,,,,,,,,,,,,,,,,,,,,,
41,Amreli,Charnara,7.7,3936.0,2637.0,0.0,866,880.0,6,172,1.5,710,40.0,29.0,220,890.0,11.9,0.0,26.09,,,,,,,,,,,,,,,,,,,,,,
42,Amreli,Fifad,7.8,6862.0,4598.0,0.0,1145,1576.0,32,245,0.55,939,88.0,146.0,820,1220.0,18.2,0.17,18.52,,,,,,,,,,,,,,,,,,,,,,
43,Amreli,Hipa vadali,8.1,2592.0,1737.0,0.0,1391,57.0,68,85,1.3,1140,20.0,22.0,140,565.0,0.2,0.0,20.76,,,,,,,,,,,,,,,,,,,,,,
44,Amreli,Kadiyali,7.4,3773.0,2528.0,0.0,634,895.0,14,41,2.05,520,176.0,49.0,640,560.0,11.9,0.0,9.62,,,,,,,,,,,,,,,,,,,,,,
45,Amreli,Tajpur,7.6,2200.0,1474.0,0.0,634,341.0,95,50,1.4,520,32.0,5.0,100,478.0,0.6,,20.78,,,,,,,,,,,,,,,,,,,,,,
46,Anand,Anand,,7.6,,,1253,,840,0,,598,,,99,,,18.0,,17.0,,0.3,,490.0,,28.0,,,70.0,,,360.0,,,140.0,,,2.0,,,3.21
47,Anand,Anklav2,,8.1,,,1100,,737,0,,512,,,78,,,36.0,,14.0,,0.9,,420.0,,28.0,,,53.0,,,290.0,,,132.0,,,1.0,,,3.37
48,Anand,Navapura,,8.0,,,1400,,938,0,,622,,,106,,,40.0,,14.0,,0.4,,510.0,,68.0,,,72.0,,,470.0,,,110.0,,,5.0,,,2.21
49,Anand,Ras,7.5,1743.0,1168.0,0.0,842,227.0,20,5,2.0,690,32.0,19.0,160,400.0,5.7,,13.75,,,,,,,,,,,,,,,,,,,,,,
50,Anand,Kansari1,,8.1,,,4278,,2866,0,,586,,,993,,,24.0,,242.0,,0.6,,480.0,,0.0,,,96.0,,,650.0,,,700.0,,,4.0,,,11.94
51,Anand,Laxmipura,,8.0,,,3367,,2256,0,,793,,,709,,,30.0,,62.0,,1.1,,650.0,,0.0,,,48.0,,,450.0,,,600.0,,,2.0,,,12.3
52,Anand,Ghora,,7.9,,,1780,,1193,0,,537,,,241,,,115.0,,18.0,,0.6,,440.0,,84.0,,,41.0,,,380.0,,,238.0,,,13.0,,,5.31
53,Anand,Adas,8.1,970.0,650.0,0.0,427,78.0,39,9,0.43,350,48.0,82.0,460,20.0,2.4,,0.41,,,,,,,,,,,,,,,,,,,,,,
54,Anand,Dharmaj,7.76,2450.0,1642.0,0.0,964,276.0,48,32,0.22,790,32.0,50.0,290,445.0,1.0,,11.36,,,,,,,,,,,,,,,,,,,,,,
55,Anand,Tol,7.6,877.0,588.0,0.0,439,50.0,5,16,0.3,360,68.0,22.0,260,86.0,7.2,,2.32,,,,,,,,,,,,,,,,,,,,,,
56,Anand,Utiyapara,7.7,680.0,456.0,0.0,390,42.0,2,6,0.15,320,88.0,29.0,340,22.0,1.1,,0.52,,,,,,,,,,,,,,,,,,,,,,
57,Banaskantha,Amirgadh,,7.9,,,3942,,2641,0,,515,,,993,,,100.0,,187.0,,0.6,,422.0,,0.0,,,216.0,,,1400.0,,,330.0,,,3.0,,0.05,3.83
58,Banaskantha,Iqbalgarh,,8.2,,,680,,456,0,,281,,,64,,,25.0,,20.0,,0.2,,230.0,,52.0,,,38.0,,,290.0,,,34.0,,,0.0,,,0.87
59,Banaskantha,Kidotar,,7.9,,,1661,,1113,0,,695,,,149,,,36.0,,52.0,,1.0,,570.0,,88.0,,,70.0,,,510.0,,,165.0,,,9.0,,0.0,3.18
60,Banaskantha,Ganapipli,,8.2,,,838,,561,0,,329,,,85,,,36.0,,14.0,,2.6,,270.0,,52.0,,,34.0,,,270.0,,,79.0,,,1.0,,,2.09
61,Banaskantha,Mohabbat gadh,,7.8,,,1500,,1005,0,,244,,,347,,,75.0,,15.0,,1.1,,200.0,,76.0,,,31.0,,,570.0,,,94.0,,,3.0,,0.05,1.71
62,Banaskantha,Ratanpur2,,8.0,,,960,,643,0,,220,,,142,,,85.0,,37.0,,0.5,,180.0,,20.0,,,12.0,,,350.0,,,65.0,,,2.0,,0.04,1.51
