Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Annexure IV
,,,CHEMICAL DATA OF NATIONAL HYDROGRAPH NETWORK STATIONS OF GUJARAT AND UT OF DAMAN & DIU May 2015,,,,,,
SN Well I D,,District,Taluka Location Type pH EC TDS CO3 HCO3 Cl NO3 SO4 F Alk Ca,Mg,TH,Na,K,,SAR Arsenic
,,,uS/cm mg/L,,,,,,ug/L
1 W220900071533001,,Ahmedabad,BARWALA Barvala Dug Well 7.84 5440 3645 0 1281 815 32 407 4.50 1050 80,144,800,863,2.0,,13.27 6
2 W230200072264501,,Ahmedabad,DASKROI Ghuma Dug Well 8.18 3796 2543 0 598 815 21 270 0.61 490 140,120,850,318,320.0,,4.74 1
3 W222230071591001,,Ahmedabad,DHANDHUKA Dhandhuka1 Dug Well 8.28 385 258 0 171 14 2 36 0.35 140 36,19,170,14,1.9,,0.47 2
4 W222130072100001,,Ahmedabad,DHANDHUKA Gamph Dug Well 7.99 4185 2804 0 500 1028 15 84 0.96 410 80,144,800,543,47.0,,8.35 6
5 W221745071565001,,Ahmedabad,DHANDHUKA Tagadi1 Dug Well 8.21 1207 809 0 390 135 3 107 1.92 320 52,26,240,180,7.8,,5.05 1
6 W232200071580001,,Ahmedabad,MANDAL Dalod Dug Well 8.03 15440 10345 0 342 4402 50 992 2.80 280 240,134,1650,2760,43.0,,29.54 7
7 W231630071550001,,Ahmedabad,MANDAL Mandal2 Dug Well 8.22 3494 2341 0 268 951 3 173 0.45 220 80,107,640,516,5.5,,8.87 5
8 W221610071420001,,Ahmedabad,RANPUR Kundali Dug Well 8.19 1027 688 0 378 120 42 33 0.61 310 40,58,340,97,0.4,,2.29 2
9 W221830071413001,,Ahmedabad,RANPUR Rajpada Dug Well 8.10 1063 712 0 342 120 31 56 0.82 280 68,43,350,86,1.6,,2.00 3
10 W231620072033001,,Ahmedabad,VIRAMGAM Endla Dug Well 8.52 616 413 18 159 149 0 1 0.80 160 28,32,200,81,10.7,,2.49 5
11 W230830072020001,,Ahmedabad,VIRAMGAM Viramgam2 Dug Well 8.69 4928 3302 48 281 1250 6 351 1.32 310 332,63,340,980,10.7,,23.11 6
12 W213630071133001,,Amreli,AMRELI Amreli Dug Well 8.00 1424 954 0 549 170 22 116 0.35 450 564,41,580,116,3.3,,2.09 2
13 W213845071063001,,Amreli,AMRELI Ankadia mota Dug Well 7.95 1334 894 0 378 170 115 60 0.48 310 68,48,370,156,3.2,,3.53 1
14 W213230071093001,,Amreli,AMRELI Govadka Dug Well 8.01 2548 1707 0 305 532 105 263 0.31 250 120,168,1000,170,2.8,,2.34 2
15 W215500071130001,,Amreli,BABRA Untvad Dug Well 8.01 855 573 0 317 78 45 42 0.30 260 92,29,350,47,3.0,,1.09 4
16 W212845070574501,,Amreli,BAGASARA Bagasara Dug Well 7.75 1900 1273 0 390 227 225 255 0.50 320 120,14,360,337,0.4,,7.72 1
17 W213500070580001,,Amreli,BAGASARA Vaghania juna Dug Well 8.22 935 626 0 354 128 41 8 0.45 290 56,24,240,127,9.4,,3.56 5
18 W212500071100001,,Amreli,DHARI Chalala Dug Well 8.23 620 415 0 183 78 20 70 0.36 150 48,22,210,65,1.6,,1.95 2
19 W212000071120001,,Amreli,DHARI Dharangani Dug Well 8.20 294 197 0 110 28 6 15 0.00 90 24,14,120,14,2.3,,0.56 2
20 W212015071023001,,Amreli,DHARI Dhari Dug Well 7.73 1708 1144 0 354 241 125 109 0.20 290 84,84,560,133,0.6,,2.44 3
21 W212350071130001,,Amreli,DHARI Kerala Dug Well 8.17 1642 1100 0 525 241 32 35 0.23 430 28,29,190,298,0.7,,9.40 5
22 W212234071070701,,Amreli,DHARI Morjhar Dug Well 8.03 560 375 0 220 57 9 17 0.23 180 48,17,190,45,1.2,,1.42 4
23 W211515071090001,,Amreli,DHARI Virpur Dug Well 7.93 1100 737 0 451 78 114 14 0.24 370 92,50,440,68,1.1,,1.41 4
24 W205205071214501,,Amreli,JAFRABAD Bherai Dug Well 8.24 898 602 0 281 149 12 3 0.44 230 20,10,90,161,11.4,,7.38 6
25 W205200071214501,,Amreli,JAFRABAD Jafrabad Dug Well 8.10 1746 1170 0 232 383 22 21 0.36 190 48,43,300,220,54.0,,5.52 20
26 W205530071211501,,Amreli,JAFRABAD Nageshri Dug Well 8.05 640 429 0 268 57 15 55 0.25 220 52,31,210,74,12.8,,2.22 4
27 W205345071121501,,Amreli,JAFRABAD Timbi2 Dug Well 7.91 665 446 0 183 106 37 54 0.40 150 36,22,180,96,8.7,,3.11 3
28 W210630071153001,,Amreli,KHAMBHA Bhavardi1 Dug Well 8.24 899 602 0 329 71 90 32 0.50 270 76,38,350,59,1.6,,1.37 3
29 W211400071120001,,Amreli,KHAMBHA Ingorala Dug Well 7.95 956 641 0 354 57 76 93 0.42 290 48,67,400,60,0.4,,1.30 3
30 W210900071142001,,Amreli,KHAMBHA Khamba Dug Well 8.28 925 620 0 310 50 39 182 0.30 254 52,24,280,123,3.9,,3.20 3
31 W210100071165001,,Amreli,KHAMBHA Trakuda Dug Well 8.17 190 127 0 73 21 11 27 0.02 60 28,10,110,8,1.2,,0.33 3
