Annexure V
WATER QUALITY DATA OF NATIONAL HYDROGRAPH NETWORK STATIONS OF GUJARAT AND UT OF DAMAN & DIU MAY 2016
District Location pH EC TDS CO3 HCO3 Cl NO3 SO4 F Alk Ca Mg TH Na K
uS/cm mg/L
District Location pH EC TDS CO3 HCO3 Cl NO3 SO4 F Alk Ca Mg TH Na K
Ahmedabad Barvala 7.84 5440 3645 0 1281 815 32 407 4.50 1050 80 144 800 863 2.0
Ahmedabad Dalod 8.51 2833 1898 24 171 682 8 244 0.90 180 88 24 320 505 5.1
Ahmedabad Devaliya 8.42 1135 760 48 342 135 13 103 1.44 360 40 34 240 200 1.9
Ahmedabad Dhandhuka1 8.27 10980 7357 0 1403 2340 38 1319 6.00 1150 240 336 2000 1800 24.0
Ahmedabad Endla 8.28 2939 1969 0 256 682 9 264 0.80 210 120 14 360 510 5.1
Ahmedabad Gamph 8.28 3102 2078 0 1013 496 15 28 0.47 830 160 72 700 380 40.0
Ahmedabad Khabhada 8.06 1668 1118 390 333 44 94 0.75 80 96 600 152 1.8
Ahmedabad Kundali 8.28 1022 685 0 354 142 95 24 0.28 290 52 65 400 90 0.6
Ahmedabad Mandal2 8.20 920 616 0 366 107 3 5 0.22 300 60 14 210 110 12.8
Ahmedabad Rajpada 8.23 1490 998 0 622 142 41 15 0.89 510 120 53 520 112 11.4
Amreli Amreli 7.94 1667 1117 0 683 163 41 12 0.20 560 180 36 600 110 5.9
Amreli Badhda 8.17 1500 1005 0 434 213 60 67 0.50 356 80 86 560 101 5.7
Amreli Bagasara 7.87 3197 2142 0 378 744 210 62 0.75 310 240 108 1050 257 0.7
Amreli Bhavardi1 8.07 1052 705 0 378 92 94 52 0.31 310 72 41 350 102 0.5
Amreli Bhuva 8.04 11530 7725 0 817 3190 240 424 1.15 670 100 252 1300 2100 66.8
Amreli Charkhadia1 8.29 2300 1541 0 1098 135 28 44 1.24 900 56 22 230 430 3.5
Amreli Chavand 8.28 800 536 0 342 28 8 96 0.30 280 48 46 310 54 0.1
Amreli Devliya 6.81 1180 791 0 317 206 49 25 0 260 84 53 430 87 2.0
Amreli Dhari 8.23 2100 1407 0 268 418 240 73 0.48 220 156 115 870 100 2.2
Amreli Fifad 8.42 4290 2874 132 769 886 60 28 1.45 850 80 156 850 620 0.8
Amreli Goradka 7.84 1423 953 0 244 213 210 78 0.35 200 104 84 610 67 0.5
Amreli Govadka 7.61 3176 2128 0 403 674 225 32 0.46 330 120 156 850 303 2.1
Amreli Jafrabad 8.01 3454 2314 0 464 886 56 53 0.70 380 240 72 900 390 47.0
Amreli Kerala 8.20 2050 1374 0 781 248 32 28 0.50 640 88 48 420 290 4.7
Amreli Khamba 8.06 970 650 0 403 71 62 19 0.31 330 52 53 350 70 0.3
Amreli Kunkavav 7.87 1936 1297 0 256 425 95 121 0.46 210 184 53 680 157 0.8
Amreli Lathi 8.19 1490 998 0 451 241 41 44 0.50 370 48 77 440 163 0.4
Amreli Lotpur 8.04 7450 4992 0 1281 1773 68 220 1.30 1050 340 300 2100 700 176.0
Amreli Luvariya 8.85 1200 804 96 366 71 17 38 1.45 460 28 22 160 211 0.7
Amreli Mandal 7.83 2630 1762 0 281 603 170 130 0.32 230 240 55 800 260 6.0
Amreli Morjhar 8.13 900 603 0 317 99 22 38 0.20 260 72 41 350 50 0.7
Amreli Nageshri 8.29 1050 704 0 329 163 18 20 0.60 270 68 12 220 147 1.8
Amreli Piyava 8.29 1500 1005 0 732 85 44 45 0.60 600 32 38 240 260 0.5
Amreli Punjapadar 8.29 600 402 0 281 42 14 10 1.01 230 40 7 130 85 7.0
Amreli Tajpur 8.29 500 335 0 220 28 9 33 0.54 180 44 26 220 20 2.2
Amreli Trakuda 7.98 1200 804 0 378 142 60 62 0.30 310 64 62 470 72 4.8
Amreli Untvad 8.26 1300 871 0 598 85 13 48 0.30 490 100 74 560 52 9.5
Amreli Vaghania juna 8.29 1567 1050 0 268 298 76 87 0.75 220 80 26 310 225 2.2
Amreli Vanada 8.48 2460 1648 84 769 248 100 74 1.05 770 24 70 350 430 0.8
Amreli Vankiya(Khamba) 7.99 1170 784 0 415 121 150 56 0 340 88 72 520 82 0.6
Amreli Vankiya1 8.20 3400 2278 0 915 638 45 49 1.30 750 60 108 600 530 0.2
Amreli Victor 8.64 1334 894 60 390 177 11 18 2.90 420 32 24 180 243 12.0
Anand Anklav2 7.72 1283 860 0 561 142 44 11 0.50 460 60 73 450 120 4.5
Anand Bandhani 8.04 743 498 0 342 92 14 5 0.85 280 64 17 230 92 13.8
Anand Bhadran 7.84 679 455 0 464 43 1 32 0.10 380 80 32 330 67 2.0
Anand Boriyavi 7.82 1916 1284 0 390 362 46 111 0.15 320 124 109 760 106 12.8
Anand Dali 8.22 3694 2475 0 1232 746 32 41 1.40 1010 160 97 800 620 17.9
Anand Dharmaj 8.45 2864 1919 96 891 390 47 74 1.05 890 40 109 550 467 2.2
Anand Laxmipura 8.48 4159 2787 84 817 923 6 117 2.40 810 20 109 500 810 4.6
Anand Parvata 8.45 1049 703 48 512 78 20 30 1.10 500 36 63 350 143 1.4
Anand Ras 8.49 1535 1028 72 647 156 15 29 3.75 650 16 17 110 375 3.5
Banaskantha Amirgadh 8.27 2841 1903 0 488 645 80 94 0.70 400 64 144 760 334 1.1
Banaskantha Bharol 8.4 526 352 48 110 43 39 13 0.10 170 56 12 190 40 37.0
Banaskantha Dantiwada 1 7.91 710 476 0 220 106 15 25 0.37 180 56 24 240 60 13.5
Banaskantha Ganapipli 7.58 1000 670 0 342 149 12 8 2.20 280 52 41 300 100 18.4
Banaskantha Gangodra 8.29 1958 1312 0 427 362 90 67 1.05 350 96 58 480 245 3.0
Banaskantha Iqbalgarh 8.26 814 545 0 317 64 45 21 0.26 260 52 48 330 37 1.0
Banaskantha Khoda 8.23 1518 1017 0 537 206 11 80 1.50 440 52 31 260 224 73.0
Banaskantha Kidotar 8.44 1700 1139 84 451 170 39 117 2.20 510 36 72 390 240 1.7
Banaskantha Meda 8.27 1600 1072 0 598 191 22 15 0.24 490 128 38 480 146 0.8
Banaskantha Mohabbat gadh 8.28 1210 811 0 195 284 29 50 1.25 160 116 36 440 94 3.1
Banaskantha Palanpur2 8.11 3600 2412 0 415 957 86 75 0.75 340 160 180 1150 325 3.6
Banaskantha Ratanpur2 8.29 900 603 0 146 184 39 113 0.20 120 100 31 380 70 6.2
Banaskantha Sodapur 7.78 1531 1026 0 439 142 50 200 1.38 360 80 72 500 145 5.4
Bharuch Bharuch 8.01 2734 1832 0 561 710 3 80 0.25 460 100 183 1000 258 1.5
Bharuch Bhensli 8.62 1277 856 132 610 35 3 33 4.05 720 12 17 100 330 0.6
Bharuch Chidra 8.35 1041 697 36 390 106 38 20 0.15 380 60 36 300 130 54.9
Bharuch Chiklota 7.98 745 499 0 427 57 39 46 0.70 350 68 32 300 98 0.4
Bharuch Dahegam 7.89 1050 704 0 573 106 7 19 0.00 470 92 51 440 95 35.7
Bharuch Jokhala 8.29 920 616 0 525 71 10 36 0.95 430 40 51 310 124 1.0
Bharuch Kalak 8.13 1049 703 0 586 99 34 20 0.50 480 80 27 310 166 18.7
Bharuch Kaswa 8.32 953 639 0 500 99 4 40 0.25 410 40 34 240 164 12.0
Bharuch Kavi 8.48 2343 1570 84 238 177 46 -39 0.30 335 40 36 250 154 376.0
Bharuch Kondh 8.10 1363 913 0 549 170 39 6 1.30 450 56 43 330 186 402.0
Bharuch Mahegam1 8.21 551 369 0 293 64 9 9 0.15 240 56 19 220 59 7.1
Bharuch Motwan 8.31 2464 1651 0 464 540 3 38 0.75 380 60 61 400 366 8.3
