S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
372,Porbandar,PORBANDAR,Balej,7.60,4862.0,3258.0,1900.0,300.0,276.0,346.0,33.0,0.0,110.0,1283.0,64.0,649.0,0.49,90.0,0.0
373,Porbandar,PORBANDAR,Bhavpura,7.60,7825.0,5243.0,2700.0,560.0,312.0,610.0,16.0,0.0,122.0,2694.0,56.0,29.0,0.7,100.0,0.037
374,Porbandar,KUTIYANA,Kadegi,7.91,10580.0,7089.0,2750.0,420.0,408.0,1200.0,30.0,0.0,207.0,3368.0,26.0,341.0,0.65,170.0,0.119
375,Porbandar,RANAVAV,Kandorna,8.04,3868.0,2592.0,1250.0,280.0,132.0,400.0,2.7,0.0,183.0,1028.0,50.0,440.0,1.0,150.0,0.0
376,Porbandar,PORBANDAR,Khambodar,8.12,1268.0,850.0,360.0,48.0,58.0,143.0,5.9,0.0,366.0,135.0,20.0,153.0,0.88,300.0,0.0
377,Porbandar,PORBANDAR,Kolikhada village-2,8.20,1889.0,1266.0,230.0,32.0,36.0,350.0,1.2,0.0,586.0,170.0,47.0,216.0,2.0,480.0,1.328
378,Porbandar,PORBANDAR,Kuchhadi,7.96,5430.0,3638.0,1350.0,140.0,240.0,680.0,70.0,0.0,268.0,1773.0,18.0,57.0,0.65,220.0,0.122
379,Porbandar,PORBANDAR,Miyani,8.29,3435.0,2301.0,1150.0,240.0,132.0,272.0,56.0,0.0,390.0,957.0,27.0,30.0,0.4,320.0,0.0
380,Porbandar,KUTIYANA,Mocha,7.74,2808.0,1881.0,1100.0,180.0,156.0,150.0,20.0,0.0,122.0,709.0,26.0,280.0,0.38,100.0,0.0
381,Porbandar,PORBANDAR,Navibandar,7.98,1440.0,965.0,250.0,48.0,33.0,220.0,28.0,0.0,281.0,312.0,37.0,21.0,0.3,230.0,0.0
382,Porbandar,PORBANDAR,Oddar,8.29,7960.0,5333.0,1700.0,180.0,300.0,1160.0,33.0,0.0,207.0,2482.0,25.0,463.0,1.4,170.0,0.0
383,Porbandar,PORBANDAR,Palkhada1,7.99,8560.0,5735.0,2100.0,560.0,168.0,1050.0,4.0,0.0,268.0,2801.0,70.0,99.0,0.54,220.0,0.0
384,Porbandar,PORBANDAR,Pata,8.03,1412.0,946.0,300.0,52.0,41.0,193.0,7.3,0.0,220.0,277.0,26.0,117.0,0.3,180.0,0.034
385,Porbandar,RANAVAV,Ranavav2,8.16,996.0,667.0,410.0,108.0,34.0,72.0,4.3,0.0,366.0,149.0,18.0,35.0,0.95,300.0,0.0
386,Porbandar,PORBANDAR,Ratadi,8.08,3619.0,2425.0,800.0,140.0,108.0,495.0,7.5,0.0,354.0,1028.0,37.0,81.0,1.1,290.0,0.0
387,Porbandar,PORBANDAR,Ratia,7.83,3170.0,2124.0,900.0,180.0,108.0,283.0,87.0,0.0,134.0,922.0,86.0,17.0,0.48,110.0,0.0
388,Porbandar,PORBANDAR,Simar,8.11,410.0,275.0,170.0,40.0,17.0,30.0,1.8,0.0,195.0,50.0,1.0,2.0,0.3,160.0,0.114
389,Porbandar,PORBANDAR,Tukda,8.26,800.0,536.0,180.0,44.0,20.0,110.0,40.0,0.0,305.0,78.0,44.0,20.0,0.46,250.0,0.0
390,Porbandar,PORBANDAR,Visavada,7.88,4946.0,3314.0,1600.0,320.0,192.0,511.0,64.0,0.0,281.0,1702.0,32.0,20.0,1.1,230.0,0.0
391,Porbandar,Porbander,Ratanpur,7.90,14240.0,9541.0,2050.0,220.0,360.0,2560.0,46.0,0.0,256.0,4503.0,5.0,928.0,0.5,210.0,0.0
392,Porbandar,Porbander,Amtroli,Leaked out,0.0,,,,,,,,,,,,,,
393,Rajkot,JASDAN,Bhadla,8.28,1932.0,1294.0,360.0,96.0,29.0,297.0,1.8,0.0,195.0,327.0,48.0,325.0,0.44,160.0,0.041
394,Rajkot,WANKANER,Bhalgam,8.01,4029.0,2699.0,1200.0,280.0,122.0,379.0,4.1,0.0,378.0,923.0,13.0,367.0,0.84,310.0,0.387
395,Rajkot,TANKARA,Chhatar,7.93,353.0,237.0,110.0,20.0,15.0,33.0,0.7,0.0,183.0,14.0,4.0,7.0,0.5,150.0,0.183
396,Rajkot,GONDAL,Chordi,7.92,3056.0,2048.0,1240.0,280.0,131.0,118.0,1.7,0.0,281.0,840.0,5.0,59.0,0.13,230.0,0.215
397,Rajkot,GONDAL,Dadia,8.14,948.0,635.0,300.0,108.0,7.0,73.0,2.0,0.0,317.0,71.0,49.0,55.0,0.37,260.0,0.04
398,Rajkot,DHORAJI,Dhoraji1,7.95,2167.0,1452.0,640.0,168.0,41.0,212.0,0.6,0.0,293.0,383.0,48.0,263.0,0.35,240.0,0.124
399,Rajkot,UPLETA,Ganod,8.63,2207.0,1479.0,180.0,16.0,34.0,453.0,0.6,60.0,854.0,199.0,10.0,60.0,3.8,800.0,0.099
400,Rajkot,RAJKOT,Gavridad,8.22,269.0,180.0,110.0,28.0,10.0,18.0,1.3,0.0,146.0,14.0,1.0,8.0,0.14,120.0,0.309
401,Rajkot,GONDAL,Gogavadar,7.89,1754.0,1175.0,490.0,64.0,80.0,181.0,26.3,0.0,622.0,220.0,47.0,19.0,0.45,510.0,0.225
402,Rajkot,TANKARA,Hadmatia,8.05,1245.0,834.0,320.0,72.0,34.0,143.0,5.1,0.0,439.0,135.0,80.0,12.0,0.4,360.0,1.834
403,Rajkot,RAJKOT,Halenda,8.18,1519.0,1018.0,520.0,72.0,83.0,120.0,3.5,0.0,500.0,213.0,43.0,29.0,0.65,410.0,0.261
404,Rajkot,GONDAL,Jamwali,8.28,321.0,215.0,120.0,24.0,15.0,26.0,2.9,0.0,146.0,28.0,5.0,12.0,0.2,120.0,0.082
405,Rajkot,JAMKANDORNA,Jasapur,7.58,1274.0,854.0,500.0,104.0,58.0,64.0,9.9,0.0,488.0,128.0,47.0,17.0,0.4,400.0,0.532
